,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드
0,동천동 텐퍼센트커피 대구칠곡3지구점,텐퍼센트커피 대구칠곡3지구점,초기값,53,5,대구 북구 학정로 439,08:00 - 21:30,053-311-3325,http://www.tenpercentcoffee.com/,NO INFO,공사중,"{'커피가 맛있어요': '24', '음료가 맛있어요': '23', '친절해요': '22', '매장이 청결해요': '19', '가성비가 좋아요': '13', '인테리어가 멋져요': '7', '대화하기 좋아요': '6', '특별한 메뉴가 있어요': '5', '디저트가 맛있어요': '4', '사진이 잘 나와요': '3', '좌석이 편해요': '1'}"
1,산격4동 카페리체,카페 리체,초기값,36,4,대구 북구 산격로 56-2,NO INFO,NO INFO,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '25', '디저트가 맛있어요': '11', '음료가 맛있어요': '5', '가성비가 좋아요': '5', '특별한 메뉴가 있어요': '4', '인테리어가 멋져요': '3', '뷰가 좋아요': '3', '매장이 청결해요': '2', '친절해요': '1', '주차하기 편해요': '1', '사진이 잘 나와요': '1', '집중하기 좋아요': '1'}"
2,황금2동 또리커피 수성점,또리커피 수성점,초기값,22,10,대구 수성구 청솔로2길 53 1층,00:00 - 24:00,0507-1390-0448,NO INFO,NO INFO,공사중,"{'디저트가 맛있어요': '13', '가성비가 좋아요': '13', '커피가 맛있어요': '11', '음료가 맛있어요': '10', '친절해요': '10', '특별한 메뉴가 있어요': '5', '사진이 잘 나와요': '2', '매장이 청결해요': '2', '음식이 빨리 나와요': '1', '인테리어가 멋져요': '1'}"
3,동천동 더리터 칠곡메가박스점,더리터 칠곡메가박스점,4.45,378,초기값,대구 북구 동암로 100,09:00 - 21:00,053-327-1006,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '94', '가성비가 좋아요': '81', '음료가 맛있어요': '65', '친절해요': '50', '디저트가 맛있어요': '14', '매장이 청결해요': '11', '특별한 메뉴가 있어요': '8', '집중하기 좋아요': '5', '좌석이 편해요': '4', '대화하기 좋아요': '3', '인테리어가 멋져요': '2', '뷰가 좋아요': '2', '주차하기 편해요': '1', '사진이 잘 나와요': '1'}"
4,침산1동 크럼키,크럼키,초기값,119,13,대구 북구 옥산로9길 6 1층,09:00 - 20:00,0507-1498-2287,https://www.instagram.com/crumkie_,크럼블과 쿠키는 크럼키 !,공사중,"{'디저트가 맛있어요': '106', '친절해요': '81', '커피가 맛있어요': '63', '매장이 청결해요': '45', '선물하기 좋아요': '44', '인테리어가 멋져요': '38', '음식이 맛있어요': '37', '특별한 메뉴가 있어요': '37', '사진이 잘 나와요': '28', '빵이 맛있어요': '23', '포장이 깔끔해요': '23', '아늑해요': '21', '차분한 분위기에요': '13', '대화하기 좋아요': '8', '좌석이 편해요': '4', '음료가 맛있어요': '2', '재료가 신선해요': '1', '메뉴 구성이 알차요': '1'}"
5,구암동 젤로,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
6,검단동 커피원,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
7,황금1동 슬로우하우스,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
8,범어2동 아마노커피,아마노 커피,4.77,133,16,대구 수성구 범어로 139 1층,10:30 - 18:30,0507-1484-3345,https://www.instagram.com/amano_75,"아메리카노 더치(마일드)
달콤 더치(블랙 슈거. 바닐라)
프리미엄 드립 백 선물세트(공공기관. 답례품. 선물)
사무실. 학원. 병원(원두)
핸드드립. 캠핑. 모카포트(원두)
커피 맛을 전하는 아마노 가 되어드리겠습니다",공사중,"{'커피가 맛있어요': '98', '친절해요': '70', '매장이 청결해요': '52', '인테리어가 멋져요': '41', '음료가 맛있어요': '39', '대화하기 좋아요': '23', '특별한 메뉴가 있어요': '20', '사진이 잘 나와요': '16', '가성비가 좋아요': '14', '집중하기 좋아요': '11', '화장실이 깨끗해요': '11', '뷰가 좋아요': '6', '좌석이 편해요': '5', '주차하기 편해요': '4', '디저트가 맛있어요': '1'}"
9,구암동 힉스 구암점,힉스 구암점,4.52,109,초기값,대구 북구 팔거천동로 80-1,NO INFO,0507-1483-0117,NO INFO,녹차라떼가 맛있는 집,공사중,"{'커피가 맛있어요': '21', '가성비가 좋아요': '16', '친절해요': '13', '음료가 맛있어요': '12', '매장이 청결해요': '5', '대화하기 좋아요': '5', '좌석이 편해요': '4', '디저트가 맛있어요': '4', '특별한 메뉴가 있어요': '3', '인테리어가 멋져요': '2', '화장실이 깨끗해요': '2', '주차하기 편해요': '1', '집중하기 좋아요': '1'}"
