사업장명,경도,위도,,
클로버카페,128.6134842,35.89659901,,
공차대구보건대점,128.5445331,35.92733986,,
마시그래이(팔달점),128.569184,35.8888594,,
핸즈커피성북교점,128.5900801,35.89356944,,
클럽펫월드(카페하루),128.6134123,35.91254403,,
침산피크,128.5826532,35.89362062,,
커피플랜침산점,128.5859317,35.88615583,,
블라썸,128.6011101,35.92226925,,
카페화담,128.6133813,35.89702627,,
보스커피(BOSS COFFEE),128.5647281,35.95209098,,
김군커피,128.5488944,35.93127625,,
여니상점,128.5638801,35.9421771,,
더벤티카페대구칠곡점,128.5630818,35.94235682,,
요거프레소(대구칠곡점),128.5494503,35.93587309,,
탑커피(TOPCOFFEE),128.5682247,35.89267115,,
쿠킹놀이터,128.6032364,35.91987882,,
들고커피(들GO COFFEE),128.5592756,35.93601141,,
할리스커피침산네거리점,128.5930139,35.88816994,,
올리졸리꽉꽉이네,128.5117292,35.90280886,,
더드림커피,128.5477675,35.91880628,,
커피스타,128.6144289,35.89444268,,
팔공티경북대학교북문점,128.6086193,35.89267702,,
다락마카롱,128.558094,35.93790049,,
혜민커피,128.5447261,35.92018726,,
카페바인,128.6014799,35.87577938,,
파리엔테스,128.5561702,35.94338401,,
카페고성,128.5806213,35.87953098,,
카페낭월,128.6140679,35.90133636,,
다방,128.6163178,35.88973289,,
두낫헤지테이트,128.5605536,35.94309865,,
이디야커피,128.5439685,35.92557259,,
핸즈커피운암역점,128.553335,35.93182452,,
블럭커피(BLOCKCOFFEE),128.6170721,35.89485146,,
플러스공방앤카페,128.6111606,35.88224426,,
얼터커피,128.5439098,35.91421047,,
커피버베나,128.5704533,35.94380693,,
리틀냅침산점,128.5875939,35.88546197,,
널그린다,128.5606911,35.92678202,,
대우받는카페,128.5552255,35.92746267,,
블루포트경북대학교점,128.6104653,35.89158379,,
카페53,128.5644356,35.95417398,,
헤븐,128.5575915,35.93528876,,
로비아네(LOBIANE),128.5882749,35.88436268,,
가보커피바(GABOCOFFEEBAR),128.6123963,35.89559425,,
헤이트먼데이(산격점),128.6050408,35.89571885,,
줌줌,128.6171191,35.88948799,,
다원카페,128.6202464,35.89273975,,
시간을걷다,128.5766105,35.91117432,,
위트커피,128.568818,35.94097866,,
디저트스윗베리,128.5678859,35.94948531,,
마카로네상점,128.565887,35.94989872,,
마시그래이연경점,128.6191958,35.94335157,,
엠트리(M-tree),128.5966075,35.8762513,,
더리터(THE LITER),128.5617179,35.94405961,,
라임커피(Laim),128.616191,35.89374015,,
빈포유,128.5999749,35.87578548,,
한스만화방까페,128.6026903,35.88817852,,
카페몽블랑,128.5645831,35.95432615,,
커피베리,128.5581078,35.94683816,,
팔공티이마트칠성점,128.5897547,35.88507266,,
블록체인스튜디오(BLOCKCHAINSTUDIO),128.6067572,35.90214795,,
플라워카페 향기,128.5732682,35.88880001,,
"카페,일상",128.5115085,35.90161383,,
커피당,128.6056649,35.90638492,,
참새과자점,128.5468652,35.92654079,,
라이프빈,128.5473341,35.94361244,,
핸썸커피,128.5594665,35.93715842,,
라온,128.5471658,35.94517908,,
호찐빵만두나라,128.605085,35.87531898,,
타르트팜,128.5115085,35.90161383,,
시청(별관) 북카페,128.6003454,35.8931948,,
케이케이투카페(KK2CAFE),128.5464762,35.94503225,,
카페연암,128.595234,35.89278567,,
카페연,128.5492661,35.93884401,,
달콤그리미,128.5647841,35.95309132,,
감성커피,128.6094989,35.88231016,,
탭플레이(산격점),128.5955728,35.89850637,,
