사업장명,주소,경도,위도
스타벅스커피대구침산DT점,대구광역시 북구 침산동 245-1 ,128.5918589,35.88747633
클로버카페,대구광역시 북구 산격동 1291-20번지 ,128.6134842,35.89659901
공차대구보건대점,대구광역시 북구 태전동 964-8번지 ,128.5445331,35.92733986
마시그래이(팔달점),대구광역시 북구 노원동3가 781-1번지 ,128.569184,35.8888594
핸즈커피성북교점,대구광역시 북구 침산동 531-5번지 ,128.5900801,35.89356944
클럽펫월드(카페하루),대구광역시 북구 검단동 573번지 ,128.6134123,35.91254403
침산피크,대구광역시 북구 침산동 1381-38번지 ,128.5826532,35.89362062
커피플랜침산점,대구광역시 북구 칠성동2가 1-2 MH엘퍼스트 오페라 ,128.5859317,35.88615583
블라썸,대구광역시 북구 동변동 278-1번지 ,128.6011101,35.92226925
카페화담,대구광역시 북구 산격동 1290-1번지 ,128.6133813,35.89702627
보스커피(BOSS COFFEE),대구광역시 북구 학정동 305번지 ,128.5647281,35.95209098
김군커피,대구광역시 북구 태전동 993-7번지 ,128.5488944,35.93127625
여니상점,대구광역시 북구 구암동 769-1번지 태을빌딩 ,128.5638801,35.9421771
더벤티카페대구칠곡점,대구광역시 북구 동천동 912-1번지 일도프라자 ,128.5630818,35.94235682
요거프레소(대구칠곡점),대구광역시 북구 읍내동 1341번지 율곡스퀘어메디컬스 ,128.5494503,35.93587309
탑커피(TOPCOFFEE),대구광역시 북구 노원동3가 1007-1번지 ,128.5682247,35.89267115
쿠킹놀이터,대구광역시 북구 동변동 674-7번지 ,128.6032364,35.91987882
들고커피(들GO COFFEE),대구광역시 북구 동천동 941-1 ,128.5592756,35.93601141
할리스커피침산네거리점,대구광역시 북구 침산동 222-7 ,128.5930139,35.88816994
올리졸리꽉꽉이네,대구광역시 북구 사수동 787번지 대구금호엘에이치천년나무5단지 ,128.5117292,35.90280886
더드림커피,대구광역시 북구 태전동 620-7번지 ,128.5477675,35.91880628
커피스타,대구광역시 북구 복현동 407-8번지 ,128.6144289,35.89444268
팔공티경북대학교북문점,대구광역시 북구 산격동 1393-23번지 ,128.6086193,35.89267702
다락마카롱,대구광역시 북구 동천동 926-3번지 ,128.558094,35.93790049
혜민커피,대구광역시 북구 태전동 206-25번지 ,128.5447261,35.92018726
카페바인,대구광역시 북구 칠성동1가 200-6번지 ,128.6014799,35.87577938
파리엔테스,대구광역시 북구 동천동 971-2번지 ,128.5561702,35.94338401
카페고성,대구광역시 북구 고성동2가 126-2번지 ,128.5806213,35.87953098
카페낭월,대구광역시 북구 산격동 485-14번지 ,128.6140679,35.90133636
