,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,Latitude,Longitude,영업시간,전화번호,연결사이트,설명,메뉴,키워드
0,고산3동 라이크유,우주라이크커피 경산점,4.77,66,초기값,경북 경산시 대학로10길 24 1층,35.8320661,128.7277091,09:00 - 21:00,053-710-8852,https://rlaaofk123.modoo.at,"""반갑습니다 : )
우주라이크 커피 경산점 인사드립니다!
새롭고, 신선하고, 합리적인 커피!
브라질 내추럴, 콜롬비아 수프리모 워시드,
에티오피아 예가체프를 최적의 비율로 블렌딩하여
깊은 단맛과 균형있는 밸런스로 고급스러운 아로마와
테이스트를 느끼실 수 있습니다.""",공사중,"""{'커피가 맛있어요': '20', '친절해요': '16', '디저트가 맛있어요': '9', '음료가 맛있어요': '7', '가성비가 좋아요': '6', '좌석이 편해요': '5', '매장이 청결해요': '5', '대화하기 좋아요': '5', '주차하기 편해요': '4', '특별한 메뉴가 있어요': '4', '인테리어가 멋져요': '2', '사진이 잘 나와요': '1', '뷰가 좋아요': '1'}"""
1,남산4동 말그미옥상,말그미옥상,4.57,88,154,대구 남구 계명중앙1길 25 2층,35.8563674,128.5813955,12:00 - 20:00,0507-1310-3966,http://www.instagram.com/malgeumi_oksang,"""'맑음' 이라는 말에서 따온 순 우리말 말그미라는 단어를 사용한 '말그미옥상' 입니다.""",공사중,"""{'커피가 맛있어요': '34', '대화하기 좋아요': '17', '디저트가 맛있어요': '15', '음료가 맛있어요': '15', '친절해요': '12', '뷰가 좋아요': '10', '인테리어가 멋져요': '9', '매장이 청결해요': '6', '가성비가 좋아요': '4', '특별한 메뉴가 있어요': '4', '사진이 잘 나와요': '3', '선물하기 좋아요': '1', '집중하기 좋아요': '1'}"""
2,대명3동 코너커피,코너커피,4.26,219,22,대구 남구 계명중앙1길 28 1층 코너커피,35.856087,128.5813917,08:30 - 22:00,053-212-9229,http://instagram.com/corner_coff22,"""맛있는 커피와 다양한 수제디저트를 맛보시러 코너로 놀러오세요♥️""",공사중,"""{'커피가 맛있어요': '43', '가성비가 좋아요': '34', '친절해요': '26', '대화하기 좋아요': '23', '음료가 맛있어요': '21', '매장이 청결해요': '17', '디저트가 맛있어요': '16', '좌석이 편해요': '9', '인테리어가 멋져요': '6', '뷰가 좋아요': '5', '집중하기 좋아요': '4', '특별한 메뉴가 있어요': '3', '주차하기 편해요': '1', '사진이 잘 나와요': '1'}"""
3,남산4동 줄라이모닝,줄라이모닝,5,12,초기값,대구 남구 계명중앙1길 5-1,35.8568809,128.5802946,09:00 - 22:00,010-2012-3273,NO INFO,"""윗 번호는 금 1-6, 토일 풀타임으로 일하는 알바생 번호라서 그날을 제외하면 전화연결이 다소 어려우실 수 있는 점 이해바랍니다ㅠ 

저희 매장은 총 2층으로 구성되어 있고 2층에는
다양한 종류의 lp판이 구비되어 있어 사용법을 모르시면 편하게 물어보시고 이용해주시면 됩니다 !""",공사중,"""{'커피가 맛있어요': '6', '대화하기 좋아요': '3', '디저트가 맛있어요': '2', '음료가 맛있어요': '2', '가성비가 좋아요': '2', '화장실이 깨끗해요': '2', '좌석이 편해요': '1', '특별한 메뉴가 있어요': '1', '매장이 청결해요': '1'}"""
4,대명6동 카페로커피,카페로커피,5,16,초기값,대구 남구 골안길 9,35.8378805,128.5612965,10:00 - 20:00,NO INFO,NO INFO,"""NO INFO""",공사중,"""{'커피가 맛있어요': '8', '친절해요': '4', '음료가 맛있어요': '2', '인테리어가 멋져요': '2'}"""
5,대명4동 앰프티커피,엠프티커피,4.59,261,176,대구 남구 대경길 185,35.845171,128.5759775,08:00 - 22:00,0507-1359-6607,NO INFO,"""NO INFO""",공사중,"""{'커피가 맛있어요': '164', '디저트가 맛있어요': '124', '친절해요': '100', '음료가 맛있어요': '70', '인테리어가 멋져요': '61'}"""
6,대명4동 다올,다올,초기값,77,4,대구 남구 대경길 201 1층 다올카페,35.8457861,128.5765432,NO INFO,0507-1337-5010,https://www.instagram.com/,"""각종모임 회의 단체 환영 각종 음료 디져트 주차완비""",공사중,"""{'커피가 맛있어요': '34', '친절해요': '33', '디저트가 맛있어요': '26', '음료가 맛있어요': '22'}"""
7,봉덕3동 프렌네,카페 프렌네,초기값,25,21,대구 남구 대덕로30길 34-2 1층,35.8402458,128.5986191,11:00 - 22:00,010-6778-7270,https://www.instagram.com/cafe_perenne,"""coffee / tee / sandwich / cake / cookie 수제디저트카페 유기농설탕으로만든 청과 수제쨈을 사용합니다!""",공사중,"""{'친절해요': '13', '커피가 맛있어요': '12', '디저트가 맛있어요': '6', '음료가 맛있어요': '4', '가성비가 좋아요': '4', '매장이 청결해요': '4', '특별한 메뉴가 있어요': '3', '집중하기 좋아요': '3', '인테리어가 멋져요': '2', '화장실이 깨끗해요': '2', '좌석이 편해요': '1'}"""
8,파동 커피온니두,커피온니두,4.27,313,100,대구 남구 대덕로40길 80-1,35.8375834,128.6039863,09:30 - 22:00,053-473-9955,https://blog.naver.com/eun8355,"""커피와 천연발효빵,맛있는 식사가 있는 커피온니두""",공사중,"""{'커피가 맛있어요': '74', '디저트가 맛있어요': '35', '친절해요': '34', '대화하기 좋아요': '34', '음료가 맛있어요': '29', '특별한 메뉴가 있어요': '26', '매장이 청결해요': '25', '인테리어가 멋져요': '14', '좌석이 편해요': '8', '사진이 잘 나와요': '6', '화장실이 깨끗해요': '4', '집중하기 좋아요': '3', '가성비가 좋아요': '2', '뷰가 좋아요': '2', '주차하기 편해요': '1'}"""
9,대명11동 소소우드,소소우드,초기값,87,23,대구 남구 대륙2길 6 1층 소소우드,35.8351633,128.5663804,NO INFO,0507-1423-7732,https://www.instagram.com/soso_wood_cafe,"""커피와 라떼류, 그리고 디저트를 매일 준비하고 있습니다. 내부 테이블도 10개 이상 준비 되어 있 으니 오셔서 편하게 드시다 가시면 됩니다.""",공사중,"""{'디저트가 맛있어요': '59', '친절해요': '56', '커피가 맛있어요': '48', '음료가 맛있어요': '40', '인테리어가 멋져요': '36', '사진이 잘 나와요': '36', '매장이 청결해요': '33', '대화하기 좋아요': '24', '화장실이 깨끗해요': '15', '집중하기 좋아요': '13', '가성비가 좋아요': '10', '특별한 메뉴가 있어요': '8', '좌석이 편해요': '7', '주차하기 편해요': '3', '차분한 분위기에요': '1', '빵이 맛있어요': '1', '차가 맛있어요': '1'}"""
