,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드
1096,혁신동 감성커피 대구혁신도시점,감성커피 대구혁신도시점,4.46,137,10,대구 동구 이노밸리로42길 10-4,09:00 - 18:00,0507-1320-8803,http://www.감성커피.com,대구혁신도시 커피 맛집 감성커피로 놀러오세요~~,공사중,"{'커피가 맛있어요': '24', '친절해요': '17', '가성비가 좋아요': '17', '음료가 맛있어요': '16', '대화하기 좋아요': '11', '특별한 메뉴가 있어요': '7', '뷰가 좋아요': '7', '좌석이 편해요': '6', '디저트가 맛있어요': '6', '매장이 청결해요': '5', '주차하기 편해요': '3', '집중하기 좋아요': '2', '인테리어가 멋져요': '1', '화장실이 깨끗해요': '1'}"
1097,혁신동 수앤청,수앤청,4.57,54,8,대구 동구 이노밸리로54길 12-3,NO INFO,010-9086-6755,NO INFO,4월1일~4월10일까지 휴무,공사중,"{'특별한 메뉴가 있어요': '24', '음료가 맛있어요': '14', '가성비가 좋아요': '13', '친절해요': '11', '커피가 맛있어요': '7'}"
1098,안심3동 히든비카페,히든비 카페,4.61,214,99,대구 동구 이노밸리로54길 16-4,10:00 - 16:00,0507-1354-7515,http://instagram.com/hiddenbcafe,히든비카페에서 제공하는 음식과 음료는 매일 아 침에 구입한 신선한 재료로 손님들의 건강을 생 각하며 정성스럽게 만든답니다. 유럽의 어...,공사중,"{'인테리어가 멋져요': '48', '커피가 맛있어요': '35', '친절해요': '27', '디저트가 맛있어요': '25', '특별한 메뉴가 있어요': '16', '음료가 맛있어요': '12', '뷰가 좋아요': '12', '음식이 맛있어요': '11', '매장이 청결해요': '11', '대화하기 좋아요': '11', '사진이 잘 나와요': '9', '재료가 신선해요': '5', '가성비가 좋아요': '4', '화장실이 깨끗해요': '4', '특별한 날 가기 좋아요': '3', '집중하기 좋아요': '3', '주차하기 편해요': '2', '혼밥하기 좋아요': '1', '양이 많아요': '1'}"
1099,혁신동 트롤리케이크,트롤리케이크,초기값,54,16,"대구 동구 이노밸리로54길 2 1층(신서동, 푸른꿈) 트롤리케이크 trollycake",NO INFO,0507-1495-0822,http://pf.kakao.com/_aPlsxj,"안녕하세요! 트롤리케이크입니다. 저희 매장은 대구혁신도시 내 새론중학교 건너편에 위치하고 있습니다. -케이크 시트와 크림, 잼 까지 모...",공사중,"{'친절해요': '48', '매장이 청결해요': '31', '디저트가 맛있어요': '28', '선물하기 좋아요': '24', '인테리어가 멋져요': '23', '특별한 메뉴가 있어요': '20', '빵이 맛있어요': '18', '주차하기 편해요': '16', '사진이 잘 나와요': '13', '가성비가 좋아요': '9', '좌석이 편해요': '1', '음료가 맛있어요': '1', '비싼 만큼 가치있어요': '1', '특별한 날 가기 좋아요': '1'}"
1100,혁신동 카페소스페소,카페 소스페소,4.68,128,13,대구 동구 이노밸리로54길 3-7 피닉스빌1 카페소스페소,08:00 - 21:00,0507-1357-3664,NO INFO,"카페 확장 이전했습니다.
바리스타 강사의 전문 로스팅 커피 맛을 느껴보세요!
드립커피와 밀크티 강추!",공사중,"{'커피가 맛있어요': '36', '친절해요': '27', '음료가 맛있어요': '21', '매장이 청결해요': '21', '대화하기 좋아요': '18', '인테리어가 멋져요': '12', '집중하기 좋아요': '6', '사진이 잘 나와요': '5', '특별한 메뉴가 있어요': '5', '가성비가 좋아요': '4', '좌석이 편해요': '3', '뷰가 좋아요': '3', '디저트가 맛있어요': '2', '화장실이 깨끗해요': '2'}"
1101,신천3동 소공녀,카페 소공녀,4.03,31,초기값,대구 동구 장등로 42,NO INFO,053-755-8019,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '5', '친절해요': '5', '특별한 메뉴가 있어요': '2', '매장이 청결해요': '2', '음료가 맛있어요': '1', '가성비가 좋아요': '1', '뷰가 좋아요': '1'}"
1102,신암3동 카페블랑쉐,카페 블랑쉐,4.45,157,206,대구 동구 장등로 75-1,09:00 - 21:00,053-759-1545,NO INFO,NO INFO,공사중,"{'인테리어가 멋져요': '43', '커피가 맛있어요': '32', '친절해요': '32', '음료가 맛있어요': '20', '매장이 청결해요': '17', '좌석이 편해요': '12', '디저트가 맛있어요': '12', '대화하기 좋아요': '11', '사진이 잘 나와요': '9', '특별한 메뉴가 있어요': '8', '가성비가 좋아요': '3', '화장실이 깨끗해요': '3', '뷰가 좋아요': '2', '주차하기 편해요': '1', '집중하기 좋아요': '1'}"
1103,혁신동 델리브,델리브,4.61,153,11,대구 동구 첨단로 30,NO INFO,0507-1314-1161,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '29', '친절해요': '17', '음료가 맛있어요': '13', '매장이 청결해요': '12', '인테리어가 멋져요': '9', '특별한 메뉴가 있어요': '8', '대화하기 좋아요': '8', '디저트가 맛있어요': '5', '사진이 잘 나와요': '5', '좌석이 편해요': '4', '가성비가 좋아요': '3', '주문제작을 잘해줘요': '1', '집중하기 좋아요': '1', '화장실이 깨끗해요': '1'}"
1104,혁신동 티라레미수 대구혁신도시점,티라레미수 대구혁신도시점,4.53,71,13,대구 동구 첨단로 30,08:00 - 20:00,0507-1306-3258,https://blog.naver.com/jjundong92,"Tirare(끌어올리다) + mi (나를) + su(위로) 달콤한 디저트를 통해 나의 기분을 위로 끌어올린다는 뜻입니다.
티라레미수는 티라미수 의 정식어원입니다.

프리미엄 디저트 카페 티라레미수 대구혁신도시점 입니다.

편안한 분위기 와 아늑한 느낌이 물씬풍기는 화이트 벽지의 매장에서 다양한 디저트 를 커피와 함께!
친구에게, 연인에게, 소중한 부모님을 위한 고급스런 선물이 부담스럽다면 티라레미수가 응원하겠습니다.
티라레미수는 누구나 손쉽게 접할수있는 디저트카페와 유명쉐프들의 디저트를 한공간에서 맛 볼 수있는 공간을 추구합니다.
달콤한 티라레미수와 함께 오늘 좀 더 행복해지세요 항상 친절히 대하겠습니다 감사합니다.",공사중,"{'친절해요': '20', '커피가 맛있어요': '17', '음료가 맛있어요': '13', '가성비가 좋아요': '7', '매장이 청결해요': '6', '대화하기 좋아요': '6', '특별한 메뉴가 있어요': '5', '빵이 맛있어요': '4', '인테리어가 멋져요': '4', '좌석이 편해요': '2', '집중하기 좋아요': '2', '사진이 잘 나와요': '1'}"
1105,혁신동 매스커피 신서혁신점,매스커피 신서혁신점,4.39,208,초기값,대구 동구 첨단로 30,07:30 - 21:00,053-965-9666,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '51', '친절해요': '33', '가성비가 좋아요': '30', '음료가 맛있어요': '24', '디저트가 맛있어요': '15', '매장이 청결해요': '11', '대화하기 좋아요': '9', '좌석이 편해요': '5', '특별한 메뉴가 있어요': '5', '집중하기 좋아요': '5', '주차하기 편해요': '2', '화장실이 깨끗해요': '2', '사진이 잘 나와요': '1', '뷰가 좋아요': '1'}"
