,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드
0,중동 카페얌,카페 얌,초기값,9,2,대구 수성구 들안로 193 1층,NO INFO,0507-1420-8510,NO INFO,NO INFO,공사중,리뷰 수 부족
1,관문동 나의 계절 봄,나의 계절 봄,4.58,99,22,대구 북구 매전로 50 1층 나의 계절 봄,10:00 - 20:00,0507-1336-7828,http://www.instagram.com/flowercafe_mybom,"안녕하세요.나의 계절,봄입니다. : ) 커피와 꽃을 판매하고있습니다. 꽃 관련 문의는 카카오톡에서 '나의계절봄'을 검색하셔서 해주시거나 전...",공사중,"{'친절해요': '23', '감각적이에요': '19', '꽃 조합이 예뻐요': '16', '싱싱해요': '11', '포장이 정성스러워요': '10', '가격이 합리적이에요': '10', '비싼 만큼 가치있어요': '2', '맞춤 제작을 잘해요': '1', '주차하기 편해요': '1'}"
2,관문동 장원택라이브,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
3,침산3동 도너츠윤 대구직영점,도너츠윤 대구직영점,초기값,166,75,대구 북구 성북로 64 1층,NO INFO,0507-1370-4344,NO INFO,"100% 국내산 찹쌀을 사용
숙성된 도너츠반죽을 이용해 최상의맛을 제공

당일생산 당일판매 원칙준수",공사중,"{'디저트가 맛있어요': '102', '친절해요': '53', '매장이 청결해요': '46', '특별한 메뉴가 있어요': '44', '커피가 맛있어요': '24', '인테리어가 멋져요': '20', '가성비가 좋아요': '19', '대화하기 좋아요': '12', '좌석이 편해요': '9', '음료가 맛있어요': '8', '사진이 잘 나와요': '7', '주차하기 편해요': '3', '포장이 깔끔해요': '2', '집중하기 좋아요': '2', '화장실이 깨끗해요': '2', '빵이 맛있어요': '1', '음식이 맛있어요': '1', '재료가 신선해요': '1', '선물하기 좋아요': '1'}"
4,만촌2동 마블리크,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
5,산격1동 언더더트리,언더더트리,4.68,156,280,대구 북구 연암공원로10길 29,"11:00 - 20:30
20:00 라스트오더",0507-1479-0552,https://www.instagram.com/cafe_under_the_tree,NO INFO,공사중,"{'인테리어가 멋져요': '43', '커피가 맛있어요': '42', '디저트가 맛있어요': '35', '뷰가 좋아요': '30', '사진이 잘 나와요': '28', '친절해요': '21', '음료가 맛있어요': '18', '매장이 청결해요': '15', '가성비가 좋아요': '13', '집중하기 좋아요': '10', '대화하기 좋아요': '10', '좌석이 편해요': '8', '화장실이 깨끗해요': '8', '주차하기 편해요': '2', '특별한 메뉴가 있어요': '2', '음악이 좋아요': '1'}"
6,수성4가동 분더브레드 범어점,분더브레드 범어점,4.39,391,74,대구 수성구 달구벌대로 2372,09:00 - 23:00,053-742-2002,NO INFO,NO INFO,공사중,리뷰 수 부족
7,복현1동 팬카페,팬카페,초기값,56,2,"대구 북구 동북로 241 상가동 108호, 207호",NO INFO,0507-1331-3940,NO INFO,"스페셜티 커피를 추구하며, 커피에 대한 진정성 있는 마음과 정성스럽게 직접 디저트를 만듭니다.",공사중,"{'커피가 맛있어요': '35', '친절해요': '27', '음료가 맛있어요': '23', '매장이 청결해요': '21', '디저트가 맛있어요': '15', '인테리어가 멋져요': '13', '좌석이 편해요': '10', '대화하기 좋아요': '10', '특별한 메뉴가 있어요': '9', '집중하기 좋아요': '7', '뷰가 좋아요': '6', '가성비가 좋아요': '5', '사진이 잘 나와요': '4', '주차하기 편해요': '1'}"
8,침산3동 신신카페,신신카페,4.53,407,135,대구 북구 침산남로9길 20,NO INFO,070-7722-2298,http://www.instagram.com/sinsin_cafe,버터를 쓰지않고 매일 구워내는 스콘과 함께 저 당(low sugar)으로 자극적인 단맛은 줄였지만 맛 있는 음료를 제공함으로써 건강과 맛을 부...,공사중,"{'커피가 맛있어요': '88', '디저트가 맛있어요': '58', '인테리어가 멋져요': '53', '매장이 청결해요': '45', '음료가 맛있어요': '44', '친절해요': '43', '좌석이 편해요': '36', '뷰가 좋아요': '36', '대화하기 좋아요': '35', '주차하기 편해요': '26', '사진이 잘 나와요': '22', '가성비가 좋아요': '16', '화장실이 깨끗해요': '16', '특별한 메뉴가 있어요': '12', '집중하기 좋아요': '7'}"
9,만촌1동 피키,피키,초기값,52,2,대구 수성구 동원로 100 메트로팔레스5단지 상가 피키,NO INFO,0507-1384-4223,NO INFO,"https://instagram.com/picky_picky04

수성구 만촌동 메트로팔레스 5단지 상가에 있는 커피맛집입니다.",공사중,"{'커피가 맛있어요': '44', '친절해요': '36', '디저트가 맛있어요': '29', '매장이 청결해요': '24', '음료가 맛있어요': '19', '가성비가 좋아요': '12', '인테리어가 멋져요': '10', '특별한 메뉴가 있어요': '10', '집중하기 좋아요': '4', '대화하기 좋아요': '4', '사진이 잘 나와요': '3', '아늑해요': '1', '주차하기 편해요': '1', '화장실이 깨끗해요': '1'}"
10,수성4가동 로우동인,로우동인,초기값,308,261,대구 중구 국채보상로150길 34 1층,10:00 - 22:00,010-7584-0246,https://www.instagram.com/rawdongin/,"카페 Raw東仁 대구 동인동에 위치해있습니다.
동인동에 있는 한옥 카페로써 '한옥의 Raw'와 현재 과거의 건축물과 새로운 건축물들이 들어서고 있는 동인동의 모습을 카페 건축물에 담아보았습니다.",공사중,"{'디저트가 맛있어요': '76', '커피가 맛있어요': '67', '친절해요': '55', '음료가 맛있어요': '45', '인테리어가 멋져요': '39', '대화하기 좋아요': '30', '매장이 청결해요': '25', '사진이 잘 나와요': '16', '좌석이 편해요': '13', '특별한 메뉴가 있어요': '10', '가성비가 좋아요': '9', '화장실이 깨끗해요': '7', '뷰가 좋아요': '6', '주차하기 편해요': '2', '집중하기 좋아요': '2', '아늑해요': '1', '메뉴 구성이 알차요': '1'}"
11,침산1동 제이커피 침산점,제이커피 침산점,4.39,155,35,대구 북구 원대로 117-1 1층 JAY COFFEE(북대구세무서 맞은편),10:50 - 22:00,053-355-5567,https://www.instagram.com/jaycoffee_chimsan,"제이커피 침산점입니다. 개인컵(텀블러, 머그잔 등 종류무관) 지참시 음료당 300원 할인해드려요!",공사중,"{'커피가 맛있어요': '45', '음료가 맛있어요': '21', '친절해요': '15', '디저트가 맛있어요': '14', '매장이 청결해요': '12', '대화하기 좋아요': '10', '가성비가 좋아요': '7', '인테리어가 멋져요': '5', '좌석이 편해요': '3', '특별한 메뉴가 있어요': '2', '주차하기 편해요': '1', '집중하기 좋아요': '1'}"
12,두산동 설빙 대구수성못점,설빙 대구수성못점,4.38,1536,166,대구 수성구 수성못2길 53 2층 설빙,12:00 - 24:00,053-763-5200,http://sulbing.com/,NO INFO,공사중,"{'디저트가 맛있어요': '571', '특별한 메뉴가 있어요': '147', '주차하기 편해요': '135', '음료가 맛있어요': '131', '친절해요': '123', '커피가 맛있어요': '101', '매장이 청결해요': '97', '대화하기 좋아요': '94', '가성비가 좋아요': '78', '뷰가 좋아요': '64', '좌석이 편해요': '42', '인테리어가 멋져요': '32', '사진이 잘 나와요': '18', '화장실이 깨끗해요': '18', '집중하기 좋아요': '10', '음식이 맛있어요': '1', '메뉴 구성이 알차요': '1', '포장이 깔끔해요': '1'}"
13,만촌3동 론론,론론,4.39,70,초기값,대구 수성구 교학로7길 77 상가동 101호,NO INFO,0507-1312-1795,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '35', '친절해요': '12', '음료가 맛있어요': '11', '매장이 청결해요': '8', '가성비가 좋아요': '5', '디저트가 맛있어요': '4', '대화하기 좋아요': '3', '사진이 잘 나와요': '2', '인테리어가 멋져요': '1'}"
14,산격3동 꽃커피랑,꽃커피랑,4.92,38,63,대구 북구 대학로9길 4,09:00 - 20:00,010-2678-4873,https://blog.naver.com/kkotkeopirang,"꽃, 커피, 타로가 함께하는 분위기 좋은 카페 입니다.",공사중,리뷰 수 부족
15,국우동 화이트폭스(WHITEFOX),화이트폭스,4.39,224,초기값,대구 북구 구리로 151,NO INFO,053-312-3388,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '80', '주차하기 편해요': '42', '대화하기 좋아요': '41', '매장이 청결해요': '34', '음료가 맛있어요': '32', '디저트가 맛있어요': '28', '친절해요': '28', '가성비가 좋아요': '22', '좌석이 편해요': '16', '뷰가 좋아요': '16', '인테리어가 멋져요': '15', '화장실이 깨끗해요': '10', '특별한 메뉴가 있어요': '6', '집중하기 좋아요': '6', '사진이 잘 나와요': '1'}"
16,황금2동 팔공티 대구황금점,팔공티 대구황금점,4.53,87,초기값,대구 수성구 동대구로 115,NO INFO,053-762-6008,http://www.palgongtea.co.kr/,"차 한잔 생각날 땐, 팔공티
오늘 하루 수고한 그대에게
가슴이 따뜻해지는 차 한잔을 선물합니다.

팔공티는 고품질의 차(茶)를 합리적인 가격에 제공하며,
남녀노소 모두에게 사랑받는 티(TEA) 전문 카페 프랜차이즈입니다.",공사중,"{'가성비가 좋아요': '19', '음료가 맛있어요': '8', '친절해요': '6', '차가 맛있어요': '6', '매장이 청결해요': '4', '인테리어가 멋져요': '2', '대화하기 좋아요': '2', '좌석이 편해요': '1', '디저트가 맛있어요': '1', '사진이 잘 나와요': '1', '특별한 메뉴가 있어요': '1', '집중하기 좋아요': '1'}"
17,복현1동 공차 대구복현점,공차 대구복현점,4.52,751,17,대구 북구 동북로 301,07:00 - 23:00,053-954-3644,NO INFO,NO INFO,공사중,"{'음료가 맛있어요': '254', '차가 맛있어요': '132', '친절해요': '110', '매장이 청결해요': '66', '디저트가 맛있어요': '52', '대화하기 좋아요': '49', '좌석이 편해요': '37', '특별한 메뉴가 있어요': '33', '가성비가 좋아요': '32', '인테리어가 멋져요': '28', '집중하기 좋아요': '23', '주차하기 편해요': '13', '뷰가 좋아요': '10', '화장실이 깨끗해요': '9', '사진이 잘 나와요': '6', '양이 많아요': '1'}"
18,범어1동 텐퍼센트커피 대구범어태왕점,텐퍼센트커피 대구범어태왕점,초기값,36,3,대구 수성구 동대구로 250,NO INFO,070-4833-7576,http://www.tenpercentcoffee.com/,NO INFO,공사중,"{'커피가 맛있어요': '23', '친절해요': '10', '음료가 맛있어요': '9', '가성비가 좋아요': '6', '디저트가 맛있어요': '5', '매장이 청결해요': '5', '인테리어가 멋져요': '2', '주차하기 편해요': '1', '사진이 잘 나와요': '1'}"
19,수성3가동 리오카페,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
20,황금2동 인생카페오구오구,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
21,파동 케이지,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
22,동천동 매스커피 칠곡3지구점,매스커피 칠곡3지구점,4.41,294,초기값,대구 북구 학정로 415 메가타운,08:00 - 23:00,053-312-0793,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '90', '음료가 맛있어요': '36', '가성비가 좋아요': '32', '친절해요': '27', '디저트가 맛있어요': '18', '매장이 청결해요': '17', '특별한 메뉴가 있어요': '9', '대화하기 좋아요': '8', '인테리어가 멋져요': '7', '사진이 잘 나와요': '3', '뷰가 좋아요': '3', '좌석이 편해요': '1', '집중하기 좋아요': '1'}"
23,태전2동 카페얼바인,카페 얼바인2016,4.76,157,118,대구 북구 칠곡중앙대로63길 9-11,"08:00 - 21:50
21:20 라스트오더",070-7807-1664,https://www.instagram.com/cafe_irvine2016,바로 추출한 커피와의 조화를 생각하며 직접만든 티푸드 구움과자가 준비되어있습니다. 메뉴 하나하나 정성스럽게 제조하고 더불어 따듯한 분위기에서 편하게 드실 수 있도록 노력중입니다:) 그래서인지 오픈한이래로 쭉 오시는 단골분들이 많은 카페가 되었습니다.,공사중,"{'커피가 맛있어요': '51', '디저트가 맛있어요': '44', '친절해요': '30', '음료가 맛있어요': '26', '매장이 청결해요': '20', '가성비가 좋아요': '12', '대화하기 좋아요': '11', '특별한 메뉴가 있어요': '9', '인테리어가 멋져요': '7', '사진이 잘 나와요': '5', '집중하기 좋아요': '4', '뷰가 좋아요': '3', '좌석이 편해요': '2', '화장실이 깨끗해요': '1'}"
24,수성1가동 하삼동커피 대구수성점,하삼동커피 수성점,4.67,227,10,대구 수성구 수성로76길 4 1층,NO INFO,053-267-8078,NO INFO,네이버주문으로 포장주문하고 바로 픽업해가세요!!,공사중,"{'커피가 맛있어요': '111', '가성비가 좋아요': '92', '친절해요': '74', '음료가 맛있어요': '62', '매장이 청결해요': '45', '대화하기 좋아요': '24', '디저트가 맛있어요': '14', '좌석이 편해요': '12', '인테리어가 멋져요': '7', '특별한 메뉴가 있어요': '7', '집중하기 좋아요': '6', '화장실이 깨끗해요': '5', '주차하기 편해요': '4', '사진이 잘 나와요': '4'}"
25,노원동 원대로북카페,원대로북카페협동조합,4.5,112,11,대구 서구 고성로 99-10,NO INFO,0507-1344-3992,NO INFO,원대동 주민들이 직접운영하는 협동조합이며 좋은 재료로 부담없는 가격으로 음료를 제공하고 동네사랑방 같은 소통의 공간으로 활용합니다,공사중,"{'가성비가 좋아요': '25', '커피가 맛있어요': '19', '친절해요': '19', '음료가 맛있어요': '12', '매장이 청결해요': '11', '대화하기 좋아요': '8', '디저트가 맛있어요': '5', '집중하기 좋아요': '5', '좌석이 편해요': '4', '인테리어가 멋져요': '3', '주차하기 편해요': '1', '특별한 메뉴가 있어요': '1', '화장실이 깨끗해요': '1', '뷰가 좋아요': '1'}"
