,카페이름
0,감성커피 유천점
1,투썸플레이스 파동가창점
2,황해다방
3,키토생활
4,커피톡
5,텐퍼센트커피 대구대실역점
6,하삼동커피 대구시지매호점
7,트래블폭스 동원점
8,대흥커피
9,카페게이트 월성본동점
10,리리카페
11,파스쿠찌 대구태평메가타워점
12,카페하늘 민들레
13,하삼동커피 대구지산범물점
14,카페인프룻
15,공부인
16,에떼커피
17,핸즈커피 가창점
18,천씨씨커피 대구진천역점
19,망고식스 계명대점
20,써밋
21,요거트월드 대구두류점
22,코타커피 월성점
23,카페봄봄 계명대점
24,쎄씨봉봉
25,아뜰리에R
26,빽다방 대구달성테크노점
27,마사커피 삼일병원점
28,토프레소 대구월촌역점
29,더카페 대구이월드점(1층)
30,비무샌드
31,웜브리즈
32,조이팝
33,하삼동커피 대구용산점
34,그랜마오븐
35,카페트로스트
36,맨리스커세권 두류공원점
37,컴포즈커피 대구서부정류장점
38,몬스터커피 화원점
39,내일카페
40,마사커피 내일점
41,카페휘게
42,잭스커피
43,러브크레페
44,더커피
45,아우어가비
46,읍천리382 대구시지점
47,토이토핑슬라임
48,투썸플레이스 대구TBC점
49,설빙 대구현풍테크노폴리스점
50,수수방앗간
51,턴커피
52,빈방
53,카페라떼라노
54,핸즈커피 이곡점
55,커피향기는바람에날리고
56,슈드해브커피
57,마시그래이 용산점
58,건영다방
59,티드커피
60,유고커피
61,이디야커피 대구옥포점
62,666도그플레이
63,머묾
64,로웰커피바
65,연스터디카페
66,에그카페24 죽전점
67,커피앤마카롱
68,달달하지롱
69,카페상띠에
70,스테인드글라스
71,설빙 대구시지점
72,더플롯커피 성서점
73,느루
74,아트디벨로
75,인D커피
76,카페와이(cafe y)
77,도피오커피 대구학생문화센터점
78,Honest
79,제일구락부 시지점
80,자갈자갈 에스프레소바
81,와드커피 대구죽전역점
82,이디야커피 대구구지산단점
83,카페조요네
84,퍼시스턴스커피
85,세한커피숍
86,카페 티그레
87,린
88,하삼동커피
89,천사커피앤티
90,베어프룻
91,이씨씨커피
92,몬스터커피 죽전역점
93,별다방
94,몰랑슬라임카페
95,랩디 성서점
96,마시그래이 강창역점
97,FRICE COFFEE
98,카페캔버스 상리공원점
99,이디야커피 대구송현점
100,카페쁘띠씨엘
101,오프닝카페
102,테라
103,카페룩스
104,웨이비
105,카페HIH
106,카페오롯
107,은화
108,카페봄봄 월서점
109,"오늘, 너와"
110,카페도노
111,에크피
112,카페라이더
113,카페콰이트
114,쥬씨 옥포지구점
115,탑클래스커피 상인점
116,트리니티카페
117,카페아바바 테크노점
118,한빛스터디카페 대구현풍테크노폴리스점
119,카페라떼
120,반할커피 상인점
121,카페지인
122,비엔나커피숍
123,하삼동커피 대구호산점
124,아마스빈 신월성점
125,빛30족욕카페
126,일월
127,어썸데이
128,카타르시스
129,마시그래이 시지점
130,구겐하임스터디카페 옥포점
131,더하트2016커피
132,일신다방
133,빽다방 대구감삼역점
134,숲으로
135,야생화전원카페
136,또요거트
137,한훤당고택 바이소가
138,오에이씨 어라이브 테크노폴리스점
139,디오커피&잉크
140,빽다방 대구신월성점
141,노즈커피
142,아마스빈 대구시지점
143,이탈리아
144,1LL Maestro
145,예투카페
146,요거트월드 대구테크노폴리스점
147,카페옴
148,투썸플레이스 대구월광수변공원점
149,그린커피
150,여유카페
151,감성커피 대구성서점
152,카페구슬이네
153,몬스터커피 알파시티점
154,커피팀버 대곡점
155,에스테반
156,파스쿠찌 대구다사점
157,파스쿠찌 대구강정고령보점
158,트리하우스
159,리틀멜번
160,이디야커피 대구서재미르점
161,빨대
162,대지다방
163,필레몬스카페
164,더벤티 대구테크노중앙점
165,츄러스 1500 대구시지점
166,스와레
167,공존카페베이커리
168,달콩카페
169,설렘 상인점
170,두번째산책
171,모캄보 대구미래여성병원점
172,더킹 상인점
173,마더품 성당점
174,카페루고 대구이월드점(4층)
175,북키디맘
176,선다방
177,몬스터커피 도원점
178,카페블로썸 전기차충전소
179,레이카페앤쿡
180,이디야커피 대구성서호림점
181,스프링캔 대구옥포점
182,위치커피 대구두류점
183,달콤커피 대구시지점
184,고바슨 아레나점
185,빠삐용
186,요이파이브 대구진천점
187,커피하리
188,유고
189,카페벨
190,꽃이랑커피랑
191,더리터 달서시장점
192,노은희커피숍
193,더벤티 대구용산점
194,크레센트
195,카페또보아
196,목매화
197,율리상점
198,다담
199,클랑
200,바니
201,반려동물과함께
202,데이데이커피
203,쿠주
204,달그릇공방 대구점
205,프렌치홈
206,몬스터커피 범물점
207,행복카페
208,오늘도봄
209,문스
210,댐퍼커피 알파시티점
211,8시20분
212,청다방
213,카페현
214,광장커피숍
215,멍석 사주카페
216,피키
217,청하다
218,리프패럿 테크노폴리스점
219,진쌀롱
220,가인다방
221,리프컴퍼니
222,반코
223,다복커피
224,나우커피 대구두류점
225,카페노리터
226,투썸플레이스 대구이곡점
227,플루800 현풍점
228,카페마이뮤지엄 다사점
229,"그곳, 유천"
230,몬스터커피 장기점
231,커피두이후인
232,웜톤커피
233,카페헤이닷
234,홍콩다방 두류점
235,미래견과
236,개스트하우스
237,유진커피숖
238,투썸플레이스 대구범물점
239,마메종
240,땡스투유
241,카페미당 용산점
242,커피팜
243,띵크어바웃커피
244,요미학
245,차얌 대구상인역점
246,공차 대구시지점
247,엘아르카 티그리스점
248,마이리틀퐁
249,아임붕어 시지점
250,원데이
251,고요의 숲
252,르쁘띠팔레드 고바슨 성서점
253,찻집하다
254,드롭탑 대구테크노폴리스점
255,빽다방 대구현풍테크노중리점
256,카페리우
257,카페루앤비 파호점
258,카페봄봄 시지점
259,파스쿠찌 대구성서이곡점
260,카페낙원
261,졸음쉼터카페
262,라일락뜨락1956
263,커피지상주의
264,매머드익스프레스 대구월성래미안점
265,마마플레이트 죽전점
266,모리(Mori)
267,달하
268,카페정이
269,데이스터디카페 현풍센터
270,바빈스커피 대구현풍점
271,연인다방
272,굽는당
273,카페블루
274,투썸플레이스 대구서재점
275,동향커피
276,홀란드 뮤지엄
277,라디오데이즈
278,카페도트
279,카페아지트
280,카페 꽃이피다 테크노폴리스점
281,마시그래이 현풍구지점
282,구공카페 감삼점
283,핸즈커피 성당점
284,민커피숍
285,빌리브라운 대구감삼점
286,탐앤탐스 대구계명대학교점
287,커피바이트 감삼점
288,모모커피
289,광PC카페 옥포직영점
290,카페점보 달서점
291,킹밥
292,카페그윽
293,청솔로9 구지점
294,로맨스빠빠
295,반달커피 두류점
296,달콤푸릇 시지점
297,에프닷커피
298,카페 에스프라하
299,보키네강아지
300,어썸주스 장기점
301,더카페제이
302,로맨스코코
303,에렌델
304,피오레
305,다다 티앤커피
306,그릿 죽전점
307,카페세라
308,틔움
309,보름
310,할리스 현풍휴게소대구방향점
311,벌크커피 신월성점
312,투썸플레이스 지산광장점
313,카페 오프(CAFE AUBE)
314,카페올데이
315,아틀리에빈 신매점
316,런더너
317,소쿠리과자점
318,쭌이점빵
319,카페오브유
320,티파티커피
321,스타벅스 동아수성점
322,모토
323,파나쉬블랑
324,올웨이즈카페
325,컴포즈커피 대구감삼역점
326,모먼트
327,아마스빈 대구이곡점
328,커피앤번
329,SSAW커피
330,투썸플레이스 대구죽전하늘채점
331,맘스커피
332,더리터 현풍점
333,힐링숲라파 대구 용산점
334,더리터 두류역점
335,마시그래이 월촌역점
336,더포켓
337,카페본
338,스테디커피 진천본점
339,CAFE RETRO
340,플로우인
341,퓨로쥬스 대구용산점
342,카페프랑세(cafe francais)
343,돈키호테
344,제이블리
345,스무디킹
346,더카페 대구이월드점(2층)
347,금강다방
348,배달의카페 성서점
349,애드업(add up)
350,보람베이킹카페
351,카페크럼브
352,구스켓인더크로 플 죽전점
353,mijiro
354,단단호박
355,루홀 잉글리쉬커피하우스
356,더카페 대구이월드83타워점
357,다모아7080라이브클럽
358,푹(PUK)
359,빈센트커피
360,지지피
361,매스커피 현풍테크노점
362,카페카파르
363,팔수다방
364,카페하라
365,몬스터커피 신월성점
366,영자클럽 두류점
367,블루웨이샐러드 달서본리점
368,그레이스커피
369,코셔
370,투썸플레이스 대구고성3가점
371,공차 대구월배점
372,벧엘외국인센터
373,MMM
374,카페랑
375,카페넬리
376,빽다방 대구월성원더풀점
