,카페이름
0,가창카페 아트도서관
1,커피에반하다 대구산격점
2,커스텀커피 대구달서점
3,옥산로스터리
4,감성커피 대구지묘점
5,더팬 대백프라자점
6,코지모먼트
7,스타벅스 대구두산DT
8,담소정
9,향미다방
10,coffee Ro
11,커피명가 반월당점
12,청솔로9 수성시장역점
13,컴포즈커피 대구율하점
14,빽다방 대구칠곡팔거역점
15,혜성다방
16,댕스미스
17,투데이로스팅커피 경대점
18,수빈레스카페
19,핸즈커피 동촌유원지점
20,캔버스 교대점
21,카페블레스
22,카페복만네
23,망원동티라미수 상인점
24,코지똑독
25,오엘와이
26,커피예찬
27,블루샥 대구범어점
28,그레이스커피
29,이디야커피 대구범어두레점
30,스타벅스 대구두류DT점
31,미르커피
32,리베
33,슬로우터틀 약전골목점
34,허브한그루 상인점
35,셀파파
36,장미다방
37,예나지나
38,보스턴커피
39,눈꽃마녀 성원넥서스점
40,테르커피
41,하고 그림책카페
42,미도다방
43,투썸플레이스 대구팔공순환로점
44,카페정&베이킹스튜디오
45,일센치
46,매스커피 범물역점
47,커피엔토스트
48,블루샥 동성로점
49,인웨이브
50,노팅힐
51,삼성커피숍
52,666도그플레이
53,카페마카다
54,달콩커피
55,홀즈
56,이디야커피 대구세천점
57,비아토르
58,향수레스커피
59,마리
60,더드림커피 아양교역점
61,타임투 포커스 TIME TO FOCUS
62,헤이트먼데이 경북대점
63,죽전그카페
64,커피요정
65,투썸플레이스 대구월광수변공원점
66,정다운컴퍼니
67,엘아르카 테라중리점
68,꽃을담다
69,레프트뱅크(LEFTBANK)
70,카페위 대명동점
71,에이비오보
72,무화커피
73,땡스투유
74,분홍커피
75,일리카페 범어점
76,어메이징요거빙수
77,내가쉬는다락방
78,보노미아
79,카페봄봄 칠곡 읍내점
80,제너시스푸드앤카페
81,카페봄봄 동산병원점
82,J뮤직공간
83,단커피
84,얼리부띠끄카페
85,단지커피
86,돈키호테
87,만랩커피 대구신천점
88,동일갤러리카페
89,청솔로9 이시아폴리스점
90,아마노커피
91,커피베이 대구칠곡점
92,알레이커피
93,앤이랑커피
94,비웨이커피
95,한솔다방
96,달트카페
97,할리스 대구이월드점
98,힐링카페채움
99,허니넛
100,해가뜨다 대명점
101,오프닝카페
102,아이엠에이투지
103,카페엔
104,카페 비비디
105,예전커피숍
106,더 THE맛있는과일1L커피 대구범어점
107,디저트39 대구경북대점
108,목련양과
109,커피스테이지
110,랩디 본점
111,카페루멘
112,커피하리
113,한영다방
114,닿은
115,이디야커피 대구범어경신점
116,아틀리에빈 대봉점
117,송현다방
118,버터밀
119,다이브
120,나루터레스카페
121,하삼동커피 대구 담티역점
122,그로우커피
123,마냥마냥
124,드롭탑 홈플러스대구동촌점
125,캣냅
126,반도커피
127,쭌이점빵
128,레인
129,드래곤
130,설빙 대구신천점
131,스타벅스 대구복현DT점
132,파스쿠찌 대구동성로광장점
133,장미카페 칠곡점
134,딥우드
135,카페봄봄 대구 동구청점
136,슈가스푼
137,코너커피
138,요거프레소 대구연경점
139,남양커피숍
140,돌고래
141,도피오커피 대구학생문화센터점
142,오올
143,멜라이드 경대점
144,르폴뒤
145,홀리몰리
146,EAT ART
147,7080정철라이브
148,더리터 대구대현점
149,스타벅스 대구감삼DT점
150,스윗두잇
151,가희빈
152,헤븐
153,대우다방
154,핑크맨
155,플랜
156,메리메리
157,커피상점국화원
158,살롱드순카페
159,스카이 라이브
160,하삼동커피 대구월성점
161,제일구락부 만촌점
162,원드링크사랑
163,쏠커피
164,행복한커피볶는집
165,라니밍
166,덴스댄스요거트
167,라부아뜨엘
168,보타닉
169,디저트39 대구 테크노폴리스점
170,매머드익스프레스 대구신월성점
171,프레임웍스커피
172,카페67
173,고바슨
174,커피유연제
175,광PC카페 옥포직영점
176,덕천418
177,카페226
178,몬스터커피 범어점
179,카페캔버스
180,낭구베이크
181,더벤티 대구용산점
182,빽다방 대구달성테크노점
183,카페휘게
184,카페이시아
185,카페봄봄 보건대점
186,카페블랑
187,조이커피
188,동인정취
189,카페레임본
190,감성커피 대구중리점
191,이디야커피 대구현풍로점
192,본투비블루스
193,프랄린 로즈
194,갤러리카페산딸기
195,요거트베이지
196,안티고
197,슬로우벗베럴
198,바람불어오는곳
199,청다방
200,카페론썸
201,스타벅스 동성로광장점
202,더블유더블유더블유 www.와플주소
203,마망카페
204,카페봄봄 강북프라임점
205,더블유컬렉션 산격점
206,마사커피 대구공항점
207,소나무
208,카페철스
209,카페보네르
210,구공카페 감삼점
211,카페아바바 테크노점
212,예쁜카페
213,슈에뜨
214,카페봄봄 이곡점
215,갓오브커피
216,더치앤빈 대구신서점
217,사미헌
218,요미학
219,키보
220,광성다방
221,메숲
222,커피신
223,룰루커피
224,시샘달닷새
225,금상첨화
226,큐케이
227,그로잉
228,하루스타
229,커피왕 범어점
230,네일n카페
231,카페몽글다
232,그카페
233,HALO coffee
234,소피아네
235,카페마실
236,레조넌스
237,커피인 아양교점
238,키아누
239,카페도노
240,카페필름통
241,시애틀에 잠못이루는밤에
242,해리슨커피숍
243,모니나
244,1리터(L)맥스커피 남구점
245,토리커피
246,이이알티키친
247,위치스43
248,소리제이
249,홍콩다방 범어점
250,보케르커피
251,더루틴
252,모란다방
253,스테얼웨이투러브 영남이공대점
254,델리브
