,카페이름
0,중동 카페얌
1,관문동 나의 계절 봄
2,관문동 장원택라이브
3,침산3동 도너츠윤 대구직영점
4,만촌2동 마블리크
5,산격1동 언더더트리
6,수성4가동 분더브레드 범어점
7,복현1동 팬카페
8,침산3동 신신카페
9,만촌1동 피키
10,수성4가동 로우동인
11,침산1동 제이커피 침산점
12,두산동 설빙 대구수성못점
13,만촌3동 론론
14,산격3동 꽃커피랑
15,국우동 화이트폭스(WHITEFOX)
16,황금2동 팔공티 대구황금점
17,복현1동 공차 대구복현점
18,범어1동 텐퍼센트커피 대구범어태왕점
19,수성3가동 리오카페
20,황금2동 인생카페오구오구
21,파동 케이지
22,동천동 매스커피 칠곡3지구점
23,태전2동 카페얼바인
24,수성1가동 하삼동커피 대구수성점
25,노원동 원대로북카페
26,동천동 우유담따
27,만촌3동 마카롱킹
28,침산1동 마시그래이 침산점
29,국우동 빽다방 대구칠곡학정점
30,읍내동 달리는커피 대구읍내점
31,상동 녹네커피
32,구암동 그카페
33,산격4동 캐피톨커피
34,범어4동 슈가스푼
35,읍내동 할로커피
36,구암동 2포인트커피
37,침산3동 The미네랄까페
38,읍내동 카페별자리
39,범어1동 반디의꿈
40,산격2동 스테이모먼트
41,구암동 아니스커피
42,구지면 와와카페
43,동천동 다빈치커피 동천즐거운집점
44,파동 이디야커피 수성못점
45,만촌1동 라일락꽃피다
46,황금1동 카페우물가
47,중동 마망카페 대구점
48,황금1동 국립대구박물관 카페
49,침산2동 더블유컬렉션
50,관문동 하나비
51,범어2동 정스콘
52,구암동 향
53,만촌2동 안시프랑스
54,상동 금산다방
55,만촌2동 카페담아
56,범어1동 커핏
57,두산동 레이지모닝 수성아리아나호텔점
58,태전1동 하바나익스프레스 보건대점
59,관음동 투데이로스팅커피 동천점
60,만촌1동 가가라커피
61,두산동 웰스프링
62,침산2동 파스쿠찌 대구침산중앙DI점
63,산격1동 헤이트먼데이 경북대점
64,상동 데이투모로우
65,산격2동 까페그립소
66,상동 멜리나
67,침산3동 마망카페
68,산격3동 클로버카페
69,범어1동 무제커피
70,관음동 빽다방 대구칠곡팔거역점
71,읍내동 투데이커피
72,수성4가동 이디야커피 대구신천리버점
73,중동 버터석
74,노원동 퀸레스카페
75,범어2동 롤로
76,대현동 카페나난구루
77,산격3동 공차 경북대점
78,수성2가동 반반다방
79,관음동 배달의카페 대구칠곡점
80,범어3동 커피맘스
81,침산3동 스타벅스 대구칠성이마트점
82,산격2동 블루미스티
83,범어3동 류커피로스터스 2호점
84,대현동 유즈
85,침산3동 리프레쉬
86,관문동 파스구찌 대구금호점
87,태전2동 스프링캔 대구태전점
88,관문동 빙그레커피숍
89,무태조야동 cafe2015
90,노원동 헬로우
91,상동 짹슨커피
92,침산1동 나인블럭 투가든대구점
93,대현동 어펙션
94,중동 대림다방
95,수성1가동 카페철스
96,범어2동 더유갤러리카페
97,만촌3동 디카프리커피로스터스 본점
98,구암동 카페플라워 두번째이야기
99,무태조야동 에이엣디
100,범어2동 레조넌스
101,구지면 탑리터 구지점
102,읍내동 커피모아
103,침산1동 텐퍼센트커피 대구침산점
104,수성3가동 반반다방
105,구지면 한훤당고택 바이소가
106,수성4가동 피끄
107,산격1동 설렘 경북대점
108,파동 커피딜라이트
109,국우동 두두앙
110,노원동 카페앤펍
111,만촌2동 커널스커피
112,수성1가동 산울림
113,칠성동 빽다방 대구칠성하늘채점
114,범어2동 카페앤까사
115,중동 멜터스커피
116,만촌1동 샌타바버라
117,만촌3동 J트리커피
118,중동 잇츠
119,수성1가동 어뮤즈
120,산격3동 아아수혈 경북대점
121,관문동 카페우스리
122,범어3동 카페오아제
123,읍내동 카페씨씨
124,태전1동 공차 대구보건대점
125,국우동 리베
126,황금2동 청담커피 황금점
127,읍내동 라이프빈
128,태전2동 다온
129,무태조야동 링넛카페
130,범어2동 카페레브릭
131,수성1가동 한일다방
132,산격2동 커피에반하다 대구산격점
133,황금1동 슈미제
134,국우동 탑리터 칠곡점
135,만촌1동 스타벅스 만촌이마트점
136,두산동 할리스 대구수성못점
