사업장명,주소,경도,위도,
스타벅스커피대구침산DT점,대구광역시 북구 침산동 245-1 ,128.5918589,35.88747633,
클로버카페,대구광역시 북구 산격동 1291-20번지 ,128.6134842,35.89659901,
공차대구보건대점,대구광역시 북구 태전동 964-8번지 ,128.5445331,35.92733986,
마시그래이(팔달점),대구광역시 북구 노원동3가 781-1번지 ,128.569184,35.8888594,
핸즈커피성북교점,대구광역시 북구 침산동 531-5번지 ,128.5900801,35.89356944,
클럽펫월드(카페하루),대구광역시 북구 검단동 573번지 ,128.6134123,35.91254403,
침산피크,대구광역시 북구 침산동 1381-38번지 ,128.5826532,35.89362062,
커피플랜침산점,대구광역시 북구 칠성동2가 1-2 MH엘퍼스트 오페라 ,128.5859317,35.88615583,
블라썸,대구광역시 북구 동변동 278-1번지 ,128.6011101,35.92226925,
카페화담,대구광역시 북구 산격동 1290-1번지 ,128.6133813,35.89702627,
보스커피(BOSS COFFEE),대구광역시 북구 학정동 305번지 ,128.5647281,35.95209098,
김군커피,대구광역시 북구 태전동 993-7번지 ,128.5488944,35.93127625,
여니상점,대구광역시 북구 구암동 769-1번지 태을빌딩 ,128.5638801,35.9421771,
더벤티카페대구칠곡점,대구광역시 북구 동천동 912-1번지 일도프라자 ,128.5630818,35.94235682,
요거프레소(대구칠곡점),대구광역시 북구 읍내동 1341번지 율곡스퀘어메디컬스 ,128.5494503,35.93587309,
탑커피(TOPCOFFEE),대구광역시 북구 노원동3가 1007-1번지 ,128.5682247,35.89267115,
쿠킹놀이터,대구광역시 북구 동변동 674-7번지 ,128.6032364,35.91987882,
들고커피(들GO COFFEE),대구광역시 북구 동천동 941-1 ,128.5592756,35.93601141,
할리스커피침산네거리점,대구광역시 북구 침산동 222-7 ,128.5930139,35.88816994,
올리졸리꽉꽉이네,대구광역시 북구 사수동 787번지 대구금호엘에이치천년나무5단지 ,128.5117292,35.90280886,
더드림커피,대구광역시 북구 태전동 620-7번지 ,128.5477675,35.91880628,
커피스타,대구광역시 북구 복현동 407-8번지 ,128.6144289,35.89444268,
팔공티경북대학교북문점,대구광역시 북구 산격동 1393-23번지 ,128.6086193,35.89267702,
다락마카롱,대구광역시 북구 동천동 926-3번지 ,128.558094,35.93790049,
혜민커피,대구광역시 북구 태전동 206-25번지 ,128.5447261,35.92018726,
카페바인,대구광역시 북구 칠성동1가 200-6번지 ,128.6014799,35.87577938,
파리엔테스,대구광역시 북구 동천동 971-2번지 ,128.5561702,35.94338401,
카페고성,대구광역시 북구 고성동2가 126-2번지 ,128.5806213,35.87953098,
카페낭월,대구광역시 북구 산격동 485-14번지 ,128.6140679,35.90133636,
다방,대구광역시 북구 복현동 619번지 ,128.6163178,35.88973289,
두낫헤지테이트,대구광역시 북구 동천동 902-2 호수빌딩2층 ,128.5605536,35.94309865,
이디야커피,대구광역시 북구 태전동 253-5번지 ,128.5439685,35.92557259,
핸즈커피운암역점,대구광역시 북구 태전동 999번지 ,128.553335,35.93182452,
블럭커피(BLOCKCOFFEE),대구광역시 북구 복현동 424-5번지 ,128.6170721,35.89485146,
플러스공방앤카페,대구광역시 북구 대현동 153-18번지 ,128.6111606,35.88224426,
얼터커피,대구광역시 북구 태전동 687-24번지 ,128.5439098,35.91421047,
커피버베나,대구광역시 북구 국우동 1096-9번지 ,128.5704533,35.94380693,
리틀냅침산점,대구광역시 북구 칠성동2가 2-2번지 침산1차푸르지오 ,128.5875939,35.88546197,
널그린다,대구광역시 북구 구암동 519번지 ,128.5606911,35.92678202,
대우받는카페,대구광역시 북구 구암동 690-5번지 ,128.5552255,35.92746267,
블루포트경북대학교점,대구광역시 북구 산격동 1370-1번지 경북대학교 ,128.6104653,35.89158379,
카페53,대구광역시 북구 학정동 368-3번지 ,128.5644356,35.95417398,
헤븐,대구광역시 북구 동천동 942-17번지 ,128.5575915,35.93528876,
로비아네(LOBIANE),대구광역시 북구 칠성동2가 2-4번지 대구은행 제2본점 ,128.5882749,35.88436268,
가보커피바(GABOCOFFEEBAR),대구광역시 북구 산격동 1278-4번지 ,128.6123963,35.89559425,
헤이트먼데이(산격점),대구광역시 북구 산격동 1422-1 ,128.6050408,35.89571885,
줌줌,대구광역시 북구 복현동 618-14번지 ,128.6171191,35.88948799,
다원카페,대구광역시 북구 복현동 461-12번지 ,128.6202464,35.89273975,
시간을걷다,대구광역시 북구 조야동 253-4번지 ,128.5766105,35.91117432,
위트커피,대구광역시 북구 구암동 784-1번지 ,128.568818,35.94097866,
디저트스윗베리,대구광역시 북구 학정동 964-6번지 ,128.5678859,35.94948531,
마카로네상점,대구광역시 북구 학정동 944-4번지 ,128.565887,35.94989872,
마시그래이연경점,대구광역시 북구 연경동 0번지 ,128.6191958,35.94335157,
엠트리(M-tree),대구광역시 북구 칠성동2가 302-380번지 ,128.5966075,35.8762513,
더리터(THE LITER),대구광역시 북구 동천동 895-2번지 씨네피아 ,128.5617179,35.94405961,
라임커피(Laim),대구광역시 북구 복현동 595-135번지 ,128.616191,35.89374015,
빈포유,대구광역시 북구 칠성동2가 302-195번지 삼성아파트 ,128.5999749,35.87578548,
한스만화방까페,대구광역시 북구 산격동 1382-8번지 ,128.6026903,35.88817852,
카페몽블랑,대구광역시 북구 학정동 369번지 ,128.5645831,35.95432615,
커피베리,대구광역시 북구 학정동 825번지 ,128.5581078,35.94683816,
팔공티이마트칠성점,대구광역시 북구 칠성동2가 20-1번지 스펙트럼시티 ,128.5897547,35.88507266,
블록체인스튜디오(BLOCKCHAINSTUDIO),대구광역시 북구 산격동 505-7번지 ,128.6067572,35.90214795,
플라워카페 향기,대구광역시 북구 노원동2가 289-4 ,128.5732682,35.88880001,
