,카페이름
0,내당4동 카페점보 달서점
1,대명3동 브루키
2,내당4동 홈인팜스
3,평리6동 별들의다방 북부정류장점
4,안심4동 더리터 대구신기점
5,안심4동 한점푸르른땅
6,평리3동 커피그리다
7,대명11동 믹스커피
8,대명2동 카페오트
9,대명6동 카페 늘
10,평리3동 광명커피숍
11,대명3동 로드&스토리
12,대명1동 어름
13,비산6동 몬스터커피 비산점
14,원대동 투썸플레이스 대구고성3가점
15,내당3동 핸즈커피 서문시장점
16,대명1동 커피대구협동조합
17,비산1동 미소
18,이천동 가비뜰
19,비산6동 브레드앤밀
20,이천동 디엘샐러드카페
21,비산7동 호동다방
22,봉덕3동 커피수
23,평리1동 투샷커피
24,대명3동 앨리스인원더랜드
25,봉덕2동 에어
26,고성동 레프트뱅크 화인탑점
27,비산7동 명문커피숍
28,안심4동 졸리할리데이
29,비산7동 수화다방
30,대명2동 아라커피
31,대명11동 딜리저트 송현점
32,혁신동 그란데커피(Grande Coffee)
33,비산1동 민레스카페
34,대명2동 텐퍼센트커피 대구교대하늘채점
35,평리4동 일오일
36,평리5동 카페봄봄 대평리시장점
37,비산4동 서문다방
38,원대동 레브
39,내당2동 옥루몽 대구서문점
40,내당2동 트란퀼로
41,대명11동 팔팔커피
42,대명11동 서부주차장구내다방
43,내당3동 카페마실
44,봉덕3동 씨엘로커피
45,비산5동 13년
46,평리1동 희동이네
47,비산2동 힉스커피 비산점
48,대명1동 해피블루밍
49,봉덕2동 안도
50,상중이동 미도커피숖
51,평리6동 엘아르카 테라중리점
52,평리2동 공차 대구평리점
53,평리2동 토마토커피숍
54,이천동 하나커피숍
55,대명5동 다원
56,내당4동 신신다방
57,봉덕2동 투썸플레이스 대구남구청희망로점
58,대명2동 꿈을파는사람
59,대명5동 제리킹커피
60,대명11동 카페오슬링(Osling)
61,비산7동 소희커피숍
62,고성동 예투카페
63,대명5동 카페 달 199-8
64,내당1동 코지커피샵
65,상중이동 커피콩
66,대명1동 막
67,비산1동 까페로더
68,내당4동 오븐정원
69,대명4동 스윗베이크
70,고성동 카페나우
71,혁신동 봉명동내커피 대구혁신점
72,평리1동 투썸플레이스 대구신평리점
73,이천동 우미우미
74,비산4동 미야까페
75,비산7동 수림다방
76,봉덕1동 커피베테랑
77,대명10동 뜰
78,평리1동 카페이랑
79,봉덕3동 안동찻집
80,평리2동 아비앙또
81,비산3동 카페피네
82,대명1동 카페노브
83,비산6동 까페로더
84,상중이동 커피라니에
85,대명3동 코너커피
86,내당4동 컬렉팅더모먼츠
87,비산1동 청담
88,대명10동 향수레스커피
89,혁신동 감프커피 대구혁신점
90,비산5동 카페제이
91,평리4동 바모스(VAMOS)
92,평리6동 카페봄봄 대평리시장점
93,평리4동 올람
94,평리4동 또또다방
95,비산6동 갈릴리호수카페
96,비산2동 카페고성
97,내당2동 여명다방
98,이천동 베어쉽하우스
99,비산7동 향기레스카페
100,내당4동 스테이어
101,혁신동 마시그래이 신서혁신도시점
102,비산2동 오스카페
103,고성동 올리브나무카페
104,내당3동 애플
105,이천동 카페큐
106,대명11동 몬스터커피 대명점
107,대명1동 159센티미터
108,평리3동 몬스터커피 서구청점
109,안심4동 지니카페앤(&)슬라임
110,비산7동 민들레레스카페
111,비산7동 예그리나카페
112,상중이동 카페이랑
113,대명9동 셀파파
114,내당2동 핸즈커피 서문2지구점
115,이천동 요거트렌디
116,비산4동 이디야커피 대구대신중앙점
117,비산5동 별별
118,봉덕3동 레오니
119,봉덕1동 굿스위트
120,평리4동 오아이케이알오빠이게커피야
121,평리1동 몬스터커피 비산점
122,내당2동 커피익스프레스
123,봉덕1동 하녹
124,비산2동 지(G)블루브라운
125,대명6동 미르커피
126,원대동 청자다방
127,대명3동 치팅파티
128,대명2동 문포엠
129,봉덕2동 손호출카페
130,평리1동 달달해
131,내당2동 브릿지커피
132,대명11동 소소우드
133,대명9동 강낭시에
134,봉덕2동 칼라스
135,혁신동 매머드익스프레스 대구신서혁신점
136,평리5동 광명커피숍
137,대명4동 대덕다방
138,비산4동 마카다
139,원대동 행복
140,내당4동 메트로
141,봉덕3동 파인힐라이브카페
142,상중이동 1리터 맥스 두류점
143,내당3동 서문다방
144,대명6동 커피플라자
145,평리3동 유진다방
146,원대동 에녹커피 북구청점
147,내당2동 킹콩커피
148,평리6동 투샷커피
149,평리6동 욜로커피
150,대명9동 카페드롬
151,대명9동 만남라이브카페
152,안심4동 타이거살롱
153,비산5동 민들레다방
154,평리3동 빽다방 대구서구청점
155,대명6동 또다
156,평리4동 엘아르카 테라중리점
157,비산7동 수정커피숍
158,평리5동 쉼터커피
159,대명4동 파스쿠찌 대구대명역점
160,평리3동 카페피네
161,비산4동 뜨란뀔로(TRANQUILLO)
162,봉덕1동 비쉬란티
163,비산6동 케냐커피 평리점
164,봉덕2동 쉴만한물가
165,평리5동 커피라니에
166,고성동 카페고성
167,평리5동 카페로니
168,비산6동 은다방
169,평리2동 카고
170,혁신동 동구전자 영남지사(본사공식 직영점)
171,혁신동 델리브
172,봉덕3동 커피참
173,대명3동 카페위 대명동점
174,대명2동 코타빈스
175,내당1동 베베르
176,비산1동 카페코나
177,봉덕2동 카페봉덕
178,"내당1동 카페, 휘월"
179,대명4동 카페몬트
180,비산4동 리틀빈
181,대명11동 포린
182,대명10동 카페잇 대구가톨릭대학교병원점
183,비산1동 카페마카다
184,비산3동 민월재
185,평리5동 카페봄봄 서구청점
186,안심4동 제이앤제이커피하우스
187,내당2동 아이아이오
188,비산4동 서신다방
189,안심4동 나우커피 대구시각산점
190,내당4동 블라인드멜론 졸리루어점
191,안심4동 카페동호
192,내당1동 행운커피숍
193,봉덕3동 아카페
194,대명1동 몬스터커피 안지랑점
195,대명10동 카페 늘
196,고성동 원대로북카페
197,봉덕2동 명성커피숍
198,고성동 감프커피
199,"내당1동 카페, 바미"
200,대명11동 워밍업스토어
201,내당4동 커피타임
202,비산5동 서부다방
203,고성동 에녹커피 북구청점
204,비산5동 풍년다방
205,봉덕3동 프렌네
206,대명1동 맨리스커세권 현충로점
207,비산7동 꽃길레스카페
208,대명2동 월넛커피
209,대명6동 청솔로9 대명점
210,비산4동 연화다방
211,평리2동 이디야커피 대구서구청점
212,봉덕1동 디아이와이우드
213,봉덕1동 커피수
214,대명2동 월럿커피
215,비산7동 해로다방
216,비산5동 송이다방
217,평리2동 오이커
218,고성동 카페허니비
219,비산3동 메가MGC커피 대구비산점
220,대명6동 셀파파
221,내당4동 오프닝카페
222,비산3동 카페블레싱
223,대명10동 이루팜 대명점
224,고성동 요거잇
225,내당1동 신성커피숍
226,비산2동 몽구네애견카페
227,대명3동 카페판다
228,대명9동 이집
229,대명6동 페브
230,평리6동 블렉카페
231,대명3동 마켓메이커
232,이천동 리비
233,비산1동 나우커피 대구서구비산점
234,대명10동 더커피(THECOFFEE)
235,비산6동 커피숲
236,봉덕2동 조이앤제이
237,대명4동 송우카페
238,평리1동 카페루앤비 대구평리점
239,비산6동 씨어스 c-us
240,비산4동 커피 제5지구
241,대명6동 뵈르카페 앞산직영점
242,내당3동 커피부라노
243,대명5동 스타벅스 대구영대병원역DT점
244,평리6동 카페로니
245,대명9동 페코
246,평리6동 설빙 대구서구청점
247,대명1동 카페달달
248,봉덕1동 카페봄봄 남구청점
249,평리5동 유캔두잇 중리점
250,비산3동 이루팜 비산점
251,평리3동 민레스카페
252,평리5동 카페카리타스 서구점
253,내당3동 카페봄봄 대신점
254,상중이동 상미다방
255,평리6동 마시그래이 중리점
256,이천동 꽃라떼
257,비산1동 석류다방
258,평리3동 카페카리타스 서구점
259,혁신동 트롤리케이크
260,평리4동 카페인창고
261,평리6동 카페인창고
262,안심4동 카페5.0
263,대명6동 산마루다방
264,내당1동 MANY MAKE
265,비산1동 뜻대로카페
266,봉덕3동 미야
267,안심4동 달라크레페
268,이천동 카페생명나무
269,비산2동 케냐커피 평리점
270,봉덕2동 아이비
271,대명3동 캐럿커피
272,이천동 마농 대봉점
273,비산5동 유림커피숍
274,평리2동 YTD216
275,봉덕3동 소금카페
276,대명10동 말자커피
277,내당2동 마카다
278,평리2동 바모스(VAMOS)
279,비산4동 발사랑
280,내당4동 노랑하우스
281,비산1동 커피타나바
282,평리3동 카페루앤비 대구평리점
283,평리4동 마시그래이 중리점
284,대명10동 커피한잔도
285,비산5동 미소
286,평리6동 커피그리다
287,내당1동 카페인당
288,평리2동 카페밤비
289,이천동 큐샵
290,평리2동 이디야서 구청점
291,내당4동 퀸스퓨전
292,평리2동 카페인
293,내당2동 카페봄봄 대신점
294,비산1동 몬스터커피 비원점
295,평리5동 카페테리아
296,상중이동 구스켓인더크로 플 죽전점
297,비산4동 핸즈커피 서문2지구점
298,내당3동 코페아커피 서문시장점
299,대명6동 카페파인트리
300,내당1동 델라파체
301,대명1동 호미
302,봉덕1동 명다방
303,대명2동 레프트뱅크 교대점
304,비산3동 갈릴리호수카페
305,평리6동 예그리나
306,비산1동 씨어스 c-us
307,평리3동 대우다방
308,비산6동 날뫼카페아이스크림
309,내당3동 커피크릭
310,비산3동 카페나인원
311,비산7동 유리커피숍
312,평리5동 동양다방
313,봉덕2동 서진커피숍
314,내당4동 놈놈놈
315,대명9동 마리아쥬커피
316,봉덕2동 시류
317,봉덕1동 시류
318,평리5동 바닐라빌리지
319,평리6동 위치카페 평리점
320,봉덕2동 브렌치카페
321,비산3동 그랜마오븐
322,내당1동 카페오프닝
323,비산6동 오스카페
324,평리2동 카페테리아
325,평리3동 토마토커피숍
326,대명5동 번앤펀 영대병원점
327,안심4동 마고플레인비스타
328,평리1동 커피먼저
329,비산7동 땡칠푸드
330,평리6동 데일리니드
331,혁신동 티라레미수 대구혁신도시점
332,비산4동 원두
333,비산4동 분홍커피
334,대명1동 카페체크 대명점
335,혁신동 이디야커피 대구이노밸리점
336,대명10동 카페1593
337,내당4동 몬스터커피 감삼역점
338,평리1동 카페봄봄 대평리시장점
339,상중이동 해리스카페 대구의료원점
340,비산7동 다인커피숖
341,상중이동 로비로비
342,대명10동 구르메
343,상중이동 커피&버블
344,비산6동 온나다방
345,봉덕3동 화다방
346,대명1동 카페점보
