,사업장명,카페이름
1982,범어4동 헤이트먼데이,헤이트먼데이 범어점
1983,범어4동 카페버니,카페버니
1984,범어4동 스니프,스니프
1985,범어4동 카페루이지,카페루이지
1986,범어2동 헥스디저트랩,헥스디저트랩
1987,범어1동 마시그래이 수성범어점,마시그래이 수성범어점
1988,수성4가동 할리스 범어천로점,할리스 대구범어천로점
1989,수성4가동 설빙 대구신천점,설빙 대구신천점
1990,수성2가동 파스쿠찌 대구라온제나점,파스쿠찌 대구라온제나점
1991,황금1동 오리진커피,오리진커피
1992,수성2가동 제이콥아츠,카페 제이콥아츠
1993,범어3동 블루샥 대구범어푸르지오점,블루샥 대구범어푸르지오점
1994,범어3동 미키마카롱,미키마카롱
1995,범어3동 몽산커피,몽산커피
1996,범어3동 그로잉,그로잉
1997,범어3동 몬스터커피 범어점,몬스터커피 범어점
1998,범어3동 카페나무,카페나무
1999,수성4가동 5후,5후
2000,범어3동 커피1번가,커피1번가
2001,범어3동 카페멜리아,멜리아
2002,범어3동 몰타 범어점,몰타 범어점
2003,두산동 몰타,몰타 본점
2004,두산동 마시그래이 두산점,마시그래이 두산점
2005,상동 카페아지트,카페아지트
2006,상동 녹네커피,녹네커피
2007,상동 핑퐁커피 두산점,핑퐁커피 두산점
2008,고산3동 플러터,플러터
2009,범어2동 레조넌스,레조넌스
2010,중동 리즈카페,리즈카페
2011,수성1가동 옹글스카페,옹글스
2012,중동 투썸플레이스 대구수성1가점,투썸플레이스 대구수성1가점
2013,수성1가동 피에스 수성,피에스 수성
2014,수성4가동 매스커피 대구은행역점,매스커피 대구은행역점
2015,상동 다홍연화,다홍연화
2016,상동 CM,CM
2017,중동 피델리티커피,피델리티커피
2018,수성3가동 티앤트래블,TEA&TRAVEL
2019,수성3가동 몰로 MOLLO,카페몰로 MOLLO
2020,수성1가동 로비,로비
2021,수성4가동 텐퍼센트커피 대구수성1가점,텐퍼센트커피 대구수성1가점
2022,수성2가동 카페위 교육청점,Cafe We 시교육청점
2023,수성2가동 카페우아한,카페우아한
2024,수성1가동 하삼동커피 대구수성점,하삼동커피 수성점
2025,수성2가동 시월일일,시월일일
2026,지산2동 설빙 대구수성못점,설빙 대구수성못점
2027,지산2동 반미콩 수성못점,반미콩 수성못점
2028,지산2동 우즈베이커리카페 수성호수점,우즈베이커리카페수성호수점
2029,지산2동 이디야커피 수성못점,이디야커피 대구수성못점
2030,지산2동 디저트39 대구 수성못점,디저트39 대구 수성못점
2031,두산동 카페봄봄 수성못점,카페봄봄 수성못점
2032,고산2동 마커스커피,마커스커피
2033,고산2동 이디야커피 대구수성알파시티점,이디야커피 대구수성알파시티점
2034,고산2동 갓샐러드 시지점,갓샐러드 시지점
2035,고산2동 라우디,라우디
2036,고산2동 프리울리,프리울리
2037,고산2동 읍천리382 대구시지점,읍천리382 시지점
2038,고산2동 셀프바리스타 시지점,셀프바리스타 시지점
2039,고산1동 탑리터 시지점,탑리터 시지점
2040,고산1동 더드림커피 대구신매점,더드림커피 대구신매점
2041,고산1동 천미리다방 시지점,커피특별시 시지점
2042,고산1동 미리지구,미리지구
2043,고산1동 요거드숑,요거드숑
2044,고산1동 카페벨,카페벨
2045,고산1동 아마스빈 대구시지점,아마스빈 대구시지점
2046,고산1동 제일구락부 시지점,제일구락부 시지점
2047,고산1동 아임붕어 시지점,아임붕어 시지점
2048,고산1동 플로미슈X아제트,플로미슈 x 아제트
2049,고산1동 커피인피니티,커피인피니티
2050,고산1동 커피그리고,커피그리고
2051,신천2동 머뭇,머뭇
2052,수성4가동 틸더커피바,틸더커피바
2053,고산2동 배터리커피스탠드,배터리커피스탠드
2054,고산2동 더리터 수성IC점,더리터 수성ic점
2055,고산2동 댐퍼커피 알파시티점,댐퍼커피 알파시티점
2056,고산2동 몬스터커피 알파시티점,몬스터커피 알파시티점
2057,고산2동 핑퐁커피 알파시티점,핑퐁커피 알파시티점
2058,고산2동 빽다방 대구알파시티점,빽다방 대구알파시티점
2059,고산2동 더리터 대구알파시티점,더리터 대구알파시티점
2060,고산2동 디저트39 알파시티점,디저트39 대구알파시티점
2061,고산2동 카페봄봄 알파시티점,봄봄 알파시티점
2062,고산2동 올웨이즈카페,Always Cafe
2063,고산2동 마노커피,마노커피
2064,파동 핸즈커피 수성못점,핸즈커피 수성못점
2065,지산2동 고바슨,르그랑팔레드 고바슨 수성점
2066,지산2동 커피명가 어나더 랩,커피명가 ANOTHER WRAP
2067,지산2동 할리스 대구수성못점,할리스 대구수성못점
