,0,1,2
고산3동 라이크유,https://drive.google.com/uc?id=1nJn0mElbnaYS8l8fb6xxViT9jbTCiALH,https://drive.google.com/uc?id=11DJIMzLz_WDTOKdL2JhmodN1n_LN5Qso,https://drive.google.com/uc?id=1X-0oQ8a5pS_m3hI_972wHppB4cu5qLqb
남산4동 말그미옥상,https://drive.google.com/uc?id=1nqBVFFhyaMMDSNVLnbWMAG4mYlw9Ng_Y,https://drive.google.com/uc?id=1Hc2Cmr-ttCOcldieEd2J1nNz3yU3scpS,https://drive.google.com/uc?id=1loNaRkGyvzQriUCKrm0yNMiida9FF2TZ
대명3동 코너커피,https://drive.google.com/uc?id=1HklYdQG6v3hMBjNPw1zWTAyve6qvORN1,https://drive.google.com/uc?id=1q9h2ksfEjjZV3wA8KuVceJ7p7YUelVqx,https://drive.google.com/uc?id=1hf2QMKEM_aVx3spBBHmbT8ve4XN9CAH_
남산4동 줄라이모닝,https://drive.google.com/uc?id=1o5_Qeee0n2zhcaQF0klHm3zhUjpIdceB,https://drive.google.com/uc?id=12pnjvFpoos32GuAl3_Af9JrY0bDT_Uec,https://drive.google.com/uc?id=1mjiYTy0Lf4uh4RRm7sKRc5KkivyDmgUR
대명6동 카페로커피,https://drive.google.com/uc?id=1JOPs_d08Ty8e2YcUe3cDYHji2RKQP9ur,,
대명4동 앰프티커피,https://drive.google.com/uc?id=1WyeZjRCeAuMKvDd9FDnwOCC0DSqI_V7U,https://drive.google.com/uc?id=1p1WNcUwBPtfV1xeY1iT01nr4VesYKiaK,https://drive.google.com/uc?id=16P-a--y7pNyLByvEddTG5WkSH_ng6O8j
대명4동 다올,https://drive.google.com/uc?id=1WerCLyXp_v-xj947MFeddi13tD_9x5b6,https://drive.google.com/uc?id=1jNi-cqGEhlMmrW4Eg84P194vH2zfkhqp,https://drive.google.com/uc?id=1rNsmZJEjVwembINbxpiR45MyT8LW_gwl
봉덕3동 프렌네,https://drive.google.com/uc?id=1u8v-p3L6xOx6q2TNbBnXQzpZAs259zqG,https://drive.google.com/uc?id=1fp12jK7X0MmxyxV-WnJH0QOl7xMeHmSL,https://drive.google.com/uc?id=1eSnV8JA8aBfkZiLA8G3WYXJfo3XYvFCX
파동 커피온니두,https://drive.google.com/uc?id=1yLQSJtmRt309MWN12ZvFLeUu8xIvSaK6,https://drive.google.com/uc?id=1yYHX6Ed99g_L8pKbBVlZTw_Gmd6ioODG,https://drive.google.com/uc?id=14yrtHr-5VNgbtYW4ed8ENDOdP8N8i18g
대명11동 소소우드,https://drive.google.com/uc?id=1LtJCXDGnaMi2CezmdwHlpg6ly02TK0ww,https://drive.google.com/uc?id=1oN4bDpBP33aIOtYgta_lBndJ-PoKPgam,https://drive.google.com/uc?id=1FGXeItZaY9ntIIIq7CMm4ogIm1h-QdiF
