,0
고산3동 라이크유,https://drive.google.com/uc?id=1u8XUoYpgrKId2p0-B_LrfRU_efjwYoJo
남산4동 말그미옥상,https://drive.google.com/uc?id=1gJYF75BA_yaDdOD8YbDsUMHccCXkp_zn
대명3동 코너커피,https://drive.google.com/uc?id=1HVwc1x5k1-VpzRt6GEirzJvHrFXMJPd8
남산4동 줄라이모닝,https://drive.google.com/uc?id=1fp3cV7lbdwMnJRJbKWEWTFMKRqoXZDdA
대명6동 카페로커피,https://drive.google.com/uc?id=1XXlkP3rr5nCIJVG0_Y3-ZTYkMymInNHx
대명4동 앰프티커피,https://drive.google.com/uc?id=19NAWjc-2LWUWXXHV0TE5V6U7OUiR-EQm
대명4동 다올,https://drive.google.com/uc?id=1ggqDyWGmAUVgTCkd8fL3mUArZSHSkbpp
봉덕3동 프렌네,https://drive.google.com/uc?id=1kPNjxJ-7Urbvz3h3bVvqElKnVgal0Wp7
파동 커피온니두,https://drive.google.com/uc?id=1xCDQpswtgZz9PV0YppyZiN8YglHSOjkC
대명11동 소소우드,https://drive.google.com/uc?id=1iCJrqLycWF2vYxMSwWamyXonMqYSZgj0
대명9동 퍼스널스커피,https://drive.google.com/uc?id=1uyj_EKxRae5RD1LZZ0Rb3X0OppGpEQCp
대명1동 오마모리,https://drive.google.com/uc?id=1ZWwq6W-Y2xNXMZ_6ID_8thQr0r3wn2NR
대명9동 강낭시에,https://drive.google.com/uc?id=18Z-1TEiFRScexJRWrNp0oaDpq_CkG_gb
대명9동 마리아쥬커피,https://drive.google.com/uc?id=1sJSV61ZWKYbbqQwHDsKxgwrR6GRFQ99y
대명1동 앞산커피하우스,https://drive.google.com/uc?id=15G822maQA-63LTI75FnctECuv1R4KyEU
대명1동 파스쿠찌 대구앞산정은점,https://drive.google.com/uc?id=173NvoOdWf8_6V4XvhgVXN2GTpEbMz4P3
대명6동 즉흥적인,https://drive.google.com/uc?id=16N2C2RU-Ct8uZPJhApHZEMzwcfz2F5z4
대명10동 핸즈커피 써니킨점,https://drive.google.com/uc?id=1la2LgyUDrpvb63KUb9hBM3lpoD8IciE7
대명4동 캔버스커피 대명역점,https://drive.google.com/uc?id=1_yzpIbCEXxpaUk22kMKeUTGFyotMyr7W
대명10동 로우시티,https://drive.google.com/uc?id=1N6LfYlHCLCgRQ25V6vCBxNv-LvALHgz1
대명1동 카페노브,https://drive.google.com/uc?id=1E_cCA056Lf992l7kH9Ai9jsu7w-W55-r
대명1동 이디야커피 대구드림병원점,https://drive.google.com/uc?id=1zpbTJ_8y4zp_Fc428632Memcsxgiu9dc
대명11동 카페엠트리 서부점,https://drive.google.com/uc?id=1ry2mbB8f83jGqrWV7Tjh6eDGnx0NhTIY
대명1동 몬스터커피 안지랑점,https://drive.google.com/uc?id=1qhRh43WIv9lqC4Pxoij3ZxLun9z17OqQ
대명9동 카페봄봄 안지랑점,https://drive.google.com/uc?id=10RIszkBNP-Nv0IwTlcwkHQWGLlJSzswa
대명1동 카페달달,https://drive.google.com/uc?id=12RX1cuUuEILM5Aw7G1MZan9wSwm45Pbf
대명1동 카페유럽,https://drive.google.com/uc?id=1bRjq1WpuX3-U8BWGhDpSbzkpXaCaOoLO
대명6동 카페 늘,https://drive.google.com/uc?id=1KsTA_ZxRXmFMCstk9_R3wwb2yFU4fBYa
대명5동 카페1052,https://drive.google.com/uc?id=1K1hFVBR3YCB5thjHWjiemEECasiBf7k_
대명5동 포프커피,https://drive.google.com/uc?id=1Bzan6ukExu-oRoRqW2XPj5hdoLgchhxS
대명5동 카페인중독 대구영대병원점,https://drive.google.com/uc?id=1WwqqTOakdjAfnowT5aoDfY5UIuks-_io
봉덕3동 아킨니,https://drive.google.com/uc?id=12S0Cgyl24n-SKw-DsTgc9i9ee4gw0ssj
대명11동 몬스터커피 대명점,https://drive.google.com/uc?id=14VdlME19VyWlUVctjqeLqUJK4AMv689u
대명10동 더리터 대명역점,https://drive.google.com/uc?id=12wo_j15JLuOvUquq3Gq0hO4l1rC1b_Qn
대명4동 파스쿠찌 대구대명역점,https://drive.google.com/uc?id=1LIurWFeNDh2qcWv-KQtqGPG5IftrpeSC
대명6동 가이아,https://drive.google.com/uc?id=1sMgGj4a0z1L0K2rthLGflwYSQx3vYEPL
대명10동 비아또,https://drive.google.com/uc?id=1CXnlP-Z5a0h-aa1hPouZs5XycDS8JPwu
대명9동 이집,https://drive.google.com/uc?id=1gwpIS0Opgf7ZDL5Z0zb6tMD1FSCneuxd
대명1동 159센티미터,https://drive.google.com/uc?id=1yIveYvM4-1r1-OhCYCRDMdeNhR9NM3mD
대명1동 어름,https://drive.google.com/uc?id=1DsGRC75tc_7Dmiy_tiqdJOJ7haIjzwJR
대명9동 셀파파,https://drive.google.com/uc?id=1pnI03WXMpCQaKdnqmNUrzC1a-byKOD0S
대명5동 포밍고,https://drive.google.com/uc?id=1UQghuPazrW4qfDuSBRn3MsFMporqSS-i
대명5동 쉼표,https://drive.google.com/uc?id=1jBSLLpCAb_LwvTKPST76Ymu4gmTpxLlD
대명5동 팔공티 대구영대병원점,https://drive.google.com/uc?id=1RoEmY_U07M3AOhkDoN84PIH0Cwgc2jMr
대명4동 마시다,https://drive.google.com/uc?id=1km-zDH-1ZER4-eRdUYmPlfEUn3aiSbHq
대명4동 카페몬트,https://drive.google.com/uc?id=1yPNeLSZAufWlBvUgja0fjMfAT44YK6eR
대명10동 뜰,https://drive.google.com/uc?id=1VPMW15c4PRTXg9_P5tYC0-_CCfAFGQYN
송현1동 몬딘,https://drive.google.com/uc?id=14441D-pxNAOS_fhu_M4D8uAPyLIzVySx
송현1동 팔공티 관문시장점,https://drive.google.com/uc?id=1blAEKwRjv_ogPdy755k4E0uiRJ4q4EPp
대명6동 어라운드,https://drive.google.com/uc?id=197AeuFpBp1g7x8W-Aag6VhfK5CbLutR4
대명6동 라니밍,https://drive.google.com/uc?id=1jNPIxdOFDmmfJh2N9O119XlOT7PQxVtJ
봉덕2동 온오프 본점,https://drive.google.com/uc?id=1PAqhQzQailczjOpRhaSUBRYJxC1AIWu7
봉덕2동 안도,https://drive.google.com/uc?id=12ydsgUEHijolfBgmxisqyTSP_pi15vUW
봉덕2동 시류,https://drive.google.com/uc?id=1eWetnpK9h6iwi5s58SX4fLKc8fP-KGts
수성1가동 에버유어스,https://drive.google.com/uc?id=19TpAXpNbL19GZgK7ELe1JAr0-17uz759
대명10동 투썸플레이스 대구가톨릭병원대로점,https://drive.google.com/uc?id=12zSXtGWdKsl8v3XxMosAPaAul2xpzzrJ
