,0,1,2
고산3동 라이크유,https://drive.google.com/uc?id=1E8zWH9Sa-QJAAvABpsJSFDxMdN4CPNeZ,https://drive.google.com/uc?id=1Wu70dkIYZUgiTaG40Z2HtSb5kpOXVmcl,https://drive.google.com/uc?id=1jHNpKkIdkBgQS9JHdExK1ywUI6O0H04D
남산4동 말그미옥상,https://drive.google.com/uc?id=19EPaNqJq727EpM1KUfrQM7p7q1LoiZXq,https://drive.google.com/uc?id=1mSzwqwjEMj9kahhzO25INXu9BO7Idu-b,https://drive.google.com/uc?id=1ekn_OzxDcV5oVUhvwLHQkfQigPpJBxsE
대명3동 코너커피,https://drive.google.com/uc?id=19fSoWncbI0L4QWlSbHEUaqL0VYZo0yQ5,https://drive.google.com/uc?id=1Rk2cudNWWDJh8_gHHovcQJHRUcgl2Nj5,https://drive.google.com/uc?id=1CtNYVWelrZt9R5gvQm6TEpSliX1t4WPH
남산4동 줄라이모닝,https://drive.google.com/uc?id=15Um0TWm2FAQ8xYJ7juH_MhmGdkU_kvQ9,https://drive.google.com/uc?id=1RmnLOlnDTFsqHClKP9fJbflFcATpJJ7s,https://drive.google.com/uc?id=1Z0flDYrvlayJuTsUo0hgsoKXTmFYDKcu
대명6동 카페로커피,https://drive.google.com/uc?id=12YQXAw7y6BqQdvc6Yk-TGTtjZ7--Gi5Z,,
대명4동 앰프티커피,https://drive.google.com/uc?id=16qJNLBmfESIUcn0FEKMw_-_xQ4kpsZ8J,https://drive.google.com/uc?id=14OzAaB2l6uzkYGImxoMsd7snKgsjXyKo,https://drive.google.com/uc?id=1yv1XXnCgu4WqrSvVQPrdfBA9KjqNYBmC
대명4동 다올,https://drive.google.com/uc?id=1IgJGR0XNwogBWB3NjnXhHPfkf207StxH,https://drive.google.com/uc?id=1uj80BtuHxUeplyW7kS1lJEWHbwgcp12d,https://drive.google.com/uc?id=1TB_n7EkA2PI6Z1zoYNSONkZaW155n4_O
봉덕3동 프렌네,https://drive.google.com/uc?id=1Bmz5HhuB6FhoLGzAAc8g438kPqtZPo7F,https://drive.google.com/uc?id=1ETKgvoHvY2iOMJcfxJpT0jRjnR4oTJmA,https://drive.google.com/uc?id=1yGMZoVeJ4wJ4rF8O5cJiHMIWeQ45jC0Q
파동 커피온니두,https://drive.google.com/uc?id=1Qlp9YG0-fGGb1CFroWpPI-Ig9fzYPvWP,https://drive.google.com/uc?id=1WXGUaj6wUcS3HVC7RI6K6fkd0wJdURx7,https://drive.google.com/uc?id=1ravHStLmtatum3DUW0iNWAKpa-dqpBr9
대명11동 소소우드,https://drive.google.com/uc?id=1vXYWnUCT4mW2pkwzOiDeNQbAxQ1WQL5U,https://drive.google.com/uc?id=1OFZJj0GIz1hRTg3Js2MTZtSB6tiMc1UT,https://drive.google.com/uc?id=1ytCnwMO6b6clc059DHYhnXts9BolJIYP
대명9동 퍼스널스커피,https://drive.google.com/uc?id=1u9ccc_Xyhwa52GjB9sP_182ljeyAgIVn,https://drive.google.com/uc?id=1hhYrC3KC9L8Ua8OXg4t2VfnLgzEVSwnJ,https://drive.google.com/uc?id=1T3hiDZIWTrPYTf1wo6qghxiXkv20CJPb
대명1동 오마모리,https://drive.google.com/uc?id=1rQX1jKuSrJni5N3NHUx-F3BopwumsJ_m,https://drive.google.com/uc?id=1CqZSfh0Qz1rvOT7CDxePIZv86Igv94Mv,https://drive.google.com/uc?id=1LbvCejUDSKCfbdIm7vGt7b32wPEuD39U
