,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드
0,클로버카페,검색결과 없음,,,,,,,,,,
1,공차대구보건대점,공차 대구보건대점,4.49,775.0,13,대구 북구 영송로 22-1 1층,09:00 - 23:00,0507-1412-0405,NO INFO,"안녕하세요 공차 대구보건대점입니다.
본 가게에서는 밀크티 및 다양한 음료를 제공하고있습니다.

친절한 서비스 질 높은 음료제공을 위해 최선을 다하겠습니다.
공차보건대점 많은 이용 부탁 드립니다!",공사중,"{'음료가 맛있어요': '220', '친절해요': '116', '차가 맛있어요': '106', '매장이 청결해요': '64', '대화하기 좋아요': '36', '좌석이 편해요': '33', '디저트가 맛있어요': '32', '특별한 메뉴가 있어요': '32', '가성비가 좋아요': '25', '집중하기 좋아요': '24', '인테리어가 멋져요': '18', '뷰가 좋아요': '9', '화장실이 깨끗해요': '7', '사진이 잘 나와요': '6', '주차하기 편해요': '3'}"
2,마시그래이(팔달점),마시그래이 팔달점,4.64,50.0,초기값,대구 북구 팔달로 173-1 1층 103호,정보없음,0507-1330-3646,NO INFO,NO INFO,공사중,리뷰 수 부족
3,핸즈커피성북교점,핸즈커피 성북교점,4.52,2568.0,438,대구 북구 침산로 198,NO INFO,0507-1324-6756,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '792', '인테리어가 멋져요': '463', '주차하기 편해요': '460', '디저트가 맛있어요': '354', '음료가 맛있어요': '339', '매장이 청결해요': '312', '대화하기 좋아요': '280', '친절해요': '240', '좌석이 편해요': '219', '화장실이 깨끗해요': '129', '사진이 잘 나와요': '84', '뷰가 좋아요': '75', '집중하기 좋아요': '71', '특별한 메뉴가 있어요': '61', '가성비가 좋아요': '50'}"
4,클럽펫월드(카페하루),검색결과 없음,,,,,,,,,,
5,침산피크,검색결과 없음,,,,,,,,,,
6,커피플랜침산점,검색결과 없음,,,,,,,,,,
7,블라썸,검색결과 없음,,,,,,,,,,
8,카페화담,검색결과 없음,,,,,,,,,,
9,보스커피(BOSS COFFEE),보스커피,4.43,87.0,16,대구 동구 신암로20길 52,NO INFO,053-945-0600,NO INFO,"매 시즌별로 최상의 원두를 사용하여 로스팅을 직접하고 있기때문에 가격뿐만 아니라 맛까지 만족스러운 보스카페!! 
☆아기의자 구비☆",공사중,"{'커피가 맛있어요': '25', '음료가 맛있어요': '8', '가성비가 좋아요': '8', '디저트가 맛있어요': '5', '친절해요': '4', '매장이 청결해요': '4', '좌석이 편해요': '2', '특별한 메뉴가 있어요': '2', '대화하기 좋아요': '2', '집중하기 좋아요': '1'}"
10,김군커피,김군커피,4.51,79.0,초기값,대구 북구 구암로16길 12-1,11:00 - 23:00,0507-1318-9801,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '21', '음료가 맛있어요': '12', '대화하기 좋아요': '9', '친절해요': '8', '가성비가 좋아요': '5', '매장이 청결해요': '5', '특별한 메뉴가 있어요': '3', '디저트가 맛있어요': '2', '인테리어가 멋져요': '2', '집중하기 좋아요': '1'}"
11,여니상점,검색결과 없음,,,,,,,,,,
12,더벤티카페대구칠곡점,더벤티 대구칠곡점,4.37,380.0,12,"대구 북구 학정로 421 1층, 더벤티 대구칠곡점",09:00 - 22:00,053-323-8656,http://theventi.co.kr/,"*매장 운영 시간 및 휴무일은 매장 별로 상이합니다.
*Take out / 풀컨셉 매장이 구분 되어 있으니 매장 정보는 사전에 해당 매장 또는 본사 측으로 확인 전화부탁드립니다.
*위 메뉴 금액은 Take out 구매 기준입니다
*풀컨셉 매장 내에서 음료를 드실 경우 위 가격에서 1,000원이 추가됩니다.",공사중,"{'가성비가 좋아요': '64', '커피가 맛있어요': '47', '음료가 맛있어요': '43', '친절해요': '41', '디저트가 맛있어요': '15', '매장이 청결해요': '13', '특별한 메뉴가 있어요': '10', '뷰가 좋아요': '2', '좌석이 편해요': '1', '인테리어가 멋져요': '1', '사진이 잘 나와요': '1', '집중하기 좋아요': '1', '대화하기 좋아요': '1'}"
13,요거프레소(대구칠곡점),검색결과 없음,,,,,,,,,,
14,탑커피(TOPCOFFEE),탑커피,4.5,208.0,21,대구 북구 노원로 50 스타빌딩 1층,NO INFO,0507-1434-2006,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '62', '가성비가 좋아요': '38', '친절해요': '37', '음료가 맛있어요': '35', '매장이 청결해요': '28', '디저트가 맛있어요': '27', '좌석이 편해요': '22', '인테리어가 멋져요': '22', '대화하기 좋아요': '22', '주차하기 편해요': '5', '집중하기 좋아요': '5', '사진이 잘 나와요': '4', '화장실이 깨끗해요': '4', '특별한 메뉴가 있어요': '2', '뷰가 좋아요': '1'}"
15,쿠킹놀이터,검색결과 없음,,,,,,,,,,
16,들고커피(들GO COFFEE),검색결과 없음,,,,,,,,,,
17,할리스커피침산네거리점,할리스 대구침산네거리점,4.56,1515.0,20,대구 북구 침산남로 157,09:00 - 23:00,053-353-5544,http://www.hollys.co.kr/,"다양한 토양과 기후에서 자란 커피 원두는 그 속에 각기 다른 맛과 향의 비밀을 숨기고 있습니다.
생두를 로스팅하여 에스프레소를 만드는 과정은 단순하고 평범해 보이지만, 사실은 로스팅과 추출법 등의 미묘하고 작은 차이가
커피 맛을 변화시킵니다.

원두에 숨겨진 이러한 커피의 비밀을 하나 하나 밝혀가면서 많은 사람들이 커피와 함께 소중한 순간을 즐기도록 해주는 것이
바로 할리스가 추구하는 [커피의 즐거움]입니다.

오늘도 할리스는 전세계의 커피 산지를 연구하고, 원두 본연의 맛을 살리기 위한 수많은 블랜딩을 개발하는 등 다양한
노력을 지속하고 있습니다. 커피가 주는 아름다움을 보다 많은 고객들이 즐길 수 있도록, 매 순간 의미 있는 작은 차이를
만들어가는 할리스가 되겠습니다.",공사중,"{'커피가 맛있어요': '256', '집중하기 좋아요': '131', '음료가 맛있어요': '122', '매장이 청결해요': '104', '좌석이 편해요': '95', '대화하기 좋아요': '95', '친절해요': '81', '디저트가 맛있어요': '65', '인테리어가 멋져요': '42', '화장실이 깨끗해요': '36', '뷰가 좋아요': '23', '가성비가 좋아요': '21', '특별한 메뉴가 있어요': '21', '주차하기 편해요': '11', '사진이 잘 나와요': '7'}"
