,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드
939,해안동 카페혜화,카페혜화,초기값,46,8,대구 동구 동촌로56길 29 1층 카페혜화,10:30 - 20:30,0507-1380-3837,https://www.instagram.com/cafe_hyehwa,NO INFO,공사중,"{'디저트가 맛있어요': '37', '친절해요': '33', '커피가 맛있어요': '23', '매장이 청결해요': '23', '음료가 맛있어요': '21', '가성비가 좋아요': '11', '특별한 메뉴가 있어요': '9', '인테리어가 멋져요': '8', '대화하기 좋아요': '6', '사진이 잘 나와요': '5', '집중하기 좋아요': '3', '좌석이 편해요': '2', '뷰가 좋아요': '2'}"
940,해안동 레헴커피,레헴커피,초기값,72,35,대구 동구 동촌로58길 25 1층,NO INFO,0507-1384-0278,NO INFO,"No버터 No우유 No계란 No설탕으로 만드는 속이 편한 우리밀 빵과 스페셜티 커피를 판매하는 레헴 커피입니다. :)
7시 이후에도 빵 구매는 가능 하시니깐 연락주시면 되세요:)",공사중,"{'커피가 맛있어요': '43', '친절해요': '42', '빵이 맛있어요': '22', '디저트가 맛있어요': '19', '음료가 맛있어요': '19', '매장이 청결해요': '18', '특별한 메뉴가 있어요': '11', '대화하기 좋아요': '7', '인테리어가 멋져요': '5', '집중하기 좋아요': '5', '사진이 잘 나와요': '4', '가성비가 좋아요': '4', '좌석이 편해요': '1', '아늑해요': '1', '재료가 신선해요': '1'}"
941,안심3동 상큼한남자들,상큼한남자들,초기값,20,10,대구 동구 동호로 165-1,11:00 - 22:30,010-9054-4222,NO INFO,NO INFO,공사중,"{'친절해요': '12', '매장이 청결해요': '4', '음료가 맛있어요': '3', '커피가 맛있어요': '2', '가성비가 좋아요': '2', '대화하기 좋아요': '2', '디저트가 맛있어요': '1', '인테리어가 멋져요': '1', '사진이 잘 나와요': '1', '집중하기 좋아요': '1'}"
942,안심3동 모아나테이블,모아나테이블,5,46,26,대구 동구 동호로 50-1 1층 MOANATABLE,NO INFO,0507-1351-8315,https://blog.naver.com/moanatable,"모아나테이블은 매장을 방문해 주시는 모든 손님 들에게 쉼이 되고 행복을 드릴 수 있는 가게를 생 각하며 시작하였습니다. 수제청과 수제잼,...",공사중,"{'디저트가 맛있어요': '27', '친절해요': '23', '특별한 메뉴가 있어요': '22', '매장이 청결해요': '20', '인테리어가 멋져요': '12', '음료가 맛있어요': '8', '커피가 맛있어요': '7', '가성비가 좋아요': '5', '대화하기 좋아요': '3', '집중하기 좋아요': '2', '화장실이 깨끗해요': '2', '뷰가 좋아요': '2', '좌석이 편해요': '1', '주차하기 편해요': '1', '사진이 잘 나와요': '1'}"
943,안심3동 팔공티 대구각산역점,팔공티 각산역점,4.51,625,6,대구 동구 동호로 79,09:00 - 22:00,053-964-3080,http://www.palgongtea.co.kr/,"차 한잔 생각날 땐, 팔공티
오늘 하루 수고한 그대에게
가슴이 따뜻해지는 차 한잔을 선물합니다.

팔공티는 고품질의 차(茶)를 합리적인 가격에 제공하며,
남녀노소 모두에게 사랑받는 티(TEA) 전문 카페 프랜차이즈입니다.",공사중,"{'음료가 맛있어요': '151', '가성비가 좋아요': '121', '친절해요': '111', '차가 맛있어요': '108', '매장이 청결해요': '56', '디저트가 맛있어요': '17', '특별한 메뉴가 있어요': '15', '대화하기 좋아요': '14', '좌석이 편해요': '7', '인테리어가 멋져요': '3', '사진이 잘 나와요': '3', '커피가 맛있어요': '1', '주차하기 편해요': '1', '집중하기 좋아요': '1', '화장실이 깨끗해요': '1'}"
944,안심3동 마시그래이 동호점,마시그래이 동호점,4.58,354,초기값,대구 동구 동호로 89,NO INFO,053-965-5570,http://masigray.com,NO INFO,공사중,"{'커피가 맛있어요': '111', '음료가 맛있어요': '70', '가성비가 좋아요': '67', '친절해요': '24', '디저트가 맛있어요': '18', '특별한 메뉴가 있어요': '13', '인테리어가 멋져요': '7', '매장이 청결해요': '7', '대화하기 좋아요': '7', '뷰가 좋아요': '5', '좌석이 편해요': '4', '사진이 잘 나와요': '4', '집중하기 좋아요': '4', '주차하기 편해요': '3', '화장실이 깨끗해요': '2'}"
945,안심3동 얌디저트,yum dessert,4.62,93,20,대구 동구 동호로11길 22 1층,13:00 - 19:00,010-9388-9996,http://www.instagram.com/y.u.m.dessert,NO INFO,공사중,"{'친절해요': '20', '빵이 맛있어요': '17', '특별한 메뉴가 있어요': '14', '음료가 맛있어요': '4', '인테리어가 멋져요': '4', '가성비가 좋아요': '4', '매장이 청결해요': '3', '사진이 잘 나와요': '1', '뷰가 좋아요': '1'}"
946,안심3동 커피르플랑,커피르플랑,초기값,83,18,대구 동구 동호로2길 37-22 1층,10:00 - 24:00,053-965-5251,NO INFO,커피의 품격을 높이는 곳 커피 르플랑 입니다. 품격있는 스페셜 원두로 저렴한 커피를 제공합니다.,공사중,"{'커피가 맛있어요': '41', '친절해요': '40', '매장이 청결해요': '35', '인테리어가 멋져요': '31', '음료가 맛있어요': '28', '좌석이 편해요': '22', '디저트가 맛있어요': '21', '대화하기 좋아요': '12', '사진이 잘 나와요': '11', '특별한 메뉴가 있어요': '10', '화장실이 깨끗해요': '9', '뷰가 좋아요': '9', '가성비가 좋아요': '4', '야외 공간이 멋져요': '1', '반려동물과 가기 좋아요': '1', '집중하기 좋아요': '1', '단체모임 하기 좋아요': '1'}"
947,안심3동 리터킹 각산점,리터킹 율하각산점,초기값,18,1,대구 동구 동호로5길 5 1층 110호,08:30 - 11:30,0504-2015-5445,NO INFO,NO INFO,공사중,"{'음료가 맛있어요': '8', '가성비가 좋아요': '8', '커피가 맛있어요': '4', '친절해요': '3', '특별한 메뉴가 있어요': '3'}"
948,안심3동 소담소담,소담소담,4.79,42,11,대구 동구 동호로9길 19 1층 소담소담,NO INFO,0507-1359-7818,#원적외선찜질,"평생 다이어트 이제 끝낼때도 되었습니다.
무조건 굶는 다이어트 NO NO...
맘먹었다면 도와드릴게요~
책임감량... 1:1식단관리...
독소배출, 통증완화
원적외선 레이탐찜질, 편백나무찜질, 체온UP,면역력에 도움되고 기초대사량이 상승됩니다.",공사중,"{'친절해요': '16', '가격이 합리적이에요': '8', '매장이 청결해요': '5', '주차하기 편해요': '4', '예약이 편리해요': '3', '맞춤 케어를 잘해줘요': '2', '상담이 자세해요': '1', '분위기가 편안해요': '1', '비싼 만큼 가치있어요': '1', '시술이 꼼꼼해요': '1'}"
