,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드
0,고산3동 라이크유,우주라이크커피 경산점,4.77,66,초기값,경북 경산시 대학로10길 24 1층,09:00 - 21:00,053-710-8852,https://rlaaofk123.modoo.at,"반갑습니다 : )
우주라이크 커피 경산점 인사드립니다!
새롭고, 신선하고, 합리적인 커피!
브라질 내추럴, 콜롬비아 수프리모 워시드,
에티오피아 예가체프를 최적의 비율로 블렌딩하여
깊은 단맛과 균형있는 밸런스로 고급스러운 아로마와
테이스트를 느끼실 수 있습니다.",공사중,"{'커피가 맛있어요': '20', '친절해요': '16', '디저트가 맛있어요': '9', '음료가 맛있어요': '7', '가성비가 좋아요': '6', '좌석이 편해요': '5', '매장이 청결해요': '5', '대화하기 좋아요': '5', '주차하기 편해요': '4', '특별한 메뉴가 있어요': '4', '인테리어가 멋져요': '2', '사진이 잘 나와요': '1', '뷰가 좋아요': '1'}"
1,대명6동 하늘아래,하늘아래사진관,초기값,1,1,대구 남구 계명중앙1길 19,11:00 - 22:00,NO INFO,https://www.facebook.com/photoskyarae/,NO INFO,공사중,리뷰 수 부족
2,대명10동 하늘아래,하늘아래사진관,초기값,1,1,대구 남구 계명중앙1길 19,11:00 - 22:00,NO INFO,https://www.facebook.com/photoskyarae/,NO INFO,공사중,리뷰 수 부족
3,대명11동 하늘아래,하늘아래사진관,초기값,1,1,대구 남구 계명중앙1길 19,11:00 - 22:00,NO INFO,https://www.facebook.com/photoskyarae/,NO INFO,공사중,리뷰 수 부족
4,남산4동 말그미옥상,말그미옥상,4.57,88,154,대구 남구 계명중앙1길 25 2층,12:00 - 20:00,0507-1310-3966,http://www.instagram.com/malgeumi_oksang,'맑음' 이라는 말에서 따온 순 우리말 말그미라는 단어를 사용한 '말그미옥상' 입니다.,공사중,"{'커피가 맛있어요': '34', '대화하기 좋아요': '17', '디저트가 맛있어요': '15', '음료가 맛있어요': '15', '친절해요': '12', '뷰가 좋아요': '10', '인테리어가 멋져요': '9', '매장이 청결해요': '6', '가성비가 좋아요': '4', '특별한 메뉴가 있어요': '4', '사진이 잘 나와요': '3', '선물하기 좋아요': '1', '집중하기 좋아요': '1'}"
5,대명1동 호미,호미화방,4.64,55,초기값,대구 남구 계명중앙1길 28,NO INFO,053-622-3749,NO INFO,NO INFO,공사중,리뷰 수 부족
6,대명3동 코너커피,코너커피,4.26,219,22,대구 남구 계명중앙1길 28 1층 코너커피,08:30 - 22:00,053-212-9229,http://instagram.com/corner_coff22,맛있는 커피와 다양한 수제디저트를 맛보시러 코너로 놀러오세요♥️,공사중,"{'커피가 맛있어요': '43', '가성비가 좋아요': '34', '친절해요': '26', '대화하기 좋아요': '23', '음료가 맛있어요': '21', '매장이 청결해요': '17', '디저트가 맛있어요': '16', '좌석이 편해요': '9', '인테리어가 멋져요': '6', '뷰가 좋아요': '5', '집중하기 좋아요': '4', '특별한 메뉴가 있어요': '3', '주차하기 편해요': '1', '사진이 잘 나와요': '1'}"
7,남산4동 코너커피,코너커피,4.26,219,22,대구 남구 계명중앙1길 28 1층 코너커피,08:30 - 22:00,053-212-9229,http://instagram.com/corner_coff22,맛있는 커피와 다양한 수제디저트를 맛보시러 코너로 놀러오세요♥️,공사중,"{'커피가 맛있어요': '43', '가성비가 좋아요': '34', '친절해요': '26', '대화하기 좋아요': '23', '음료가 맛있어요': '21', '매장이 청결해요': '17', '디저트가 맛있어요': '16', '좌석이 편해요': '9', '인테리어가 멋져요': '6', '뷰가 좋아요': '5', '집중하기 좋아요': '4', '특별한 메뉴가 있어요': '3', '주차하기 편해요': '1', '사진이 잘 나와요': '1'}"
8,남산4동 줄라이모닝,줄라이모닝,5,12,초기값,대구 남구 계명중앙1길 5-1,09:00 - 22:00,010-2012-3273,NO INFO,"윗 번호는 금 1-6, 토일 풀타임으로 일하는 알바생 번호라서 그날을 제외하면 전화연결이 다소 어려우실 수 있는 점 이해바랍니다ㅠ 

저희 매장은 총 2층으로 구성되어 있고 2층에는
다양한 종류의 lp판이 구비되어 있어 사용법을 모르시면 편하게 물어보시고 이용해주시면 됩니다 !",공사중,"{'커피가 맛있어요': '6', '대화하기 좋아요': '3', '디저트가 맛있어요': '2', '음료가 맛있어요': '2', '가성비가 좋아요': '2', '화장실이 깨끗해요': '2', '좌석이 편해요': '1', '특별한 메뉴가 있어요': '1', '매장이 청결해요': '1'}"
9,대명3동 줄라이모닝,줄라이모닝,5,12,초기값,대구 남구 계명중앙1길 5-1,09:00 - 22:00,010-2012-3273,NO INFO,"윗 번호는 금 1-6, 토일 풀타임으로 일하는 알바생 번호라서 그날을 제외하면 전화연결이 다소 어려우실 수 있는 점 이해바랍니다ㅠ 

저희 매장은 총 2층으로 구성되어 있고 2층에는
다양한 종류의 lp판이 구비되어 있어 사용법을 모르시면 편하게 물어보시고 이용해주시면 됩니다 !",공사중,"{'커피가 맛있어요': '6', '대화하기 좋아요': '3', '디저트가 맛있어요': '2', '음료가 맛있어요': '2', '가성비가 좋아요': '2', '화장실이 깨끗해요': '2', '좌석이 편해요': '1', '특별한 메뉴가 있어요': '1', '매장이 청결해요': '1'}"
