,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드
0,해안동 카페마루,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
1,신암3동 마시그래이 동대구역점,MASIGRAY 동대구역점,4.45,227,초기값,대구 동구 동대구로 530,NO INFO,NO INFO,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '44', '가성비가 좋아요': '40', '음료가 맛있어요': '28', '친절해요': '20', '매장이 청결해요': '5', '특별한 메뉴가 있어요': '3', '디저트가 맛있어요': '2', '인테리어가 멋져요': '2', '주차하기 편해요': '2', '사진이 잘 나와요': '2', '대화하기 좋아요': '1', '뷰가 좋아요': '1'}"
2,동촌동 플랜,플랜 동촌점,초기값,56,6,대구 동구 동촌로 100 401동106호,08:00 - 24:00,053-985-8307,NO INFO,"안녕하세요 플랜 동촌점입니다.
동촌태왕아너스 상가1층 대도로변에 위치해있습니다. 053-985-8307로 미리 전화주시면
더욱 빠르게 받으실 수 있습니다.",공사중,"{'커피가 맛있어요': '31', '음료가 맛있어요': '18', '친절해요': '18', '가성비가 좋아요': '8', '매장이 청결해요': '8', '디저트가 맛있어요': '6', '좌석이 편해요': '5', '인테리어가 멋져요': '5', '주차하기 편해요': '4', '특별한 메뉴가 있어요': '4', '사진이 잘 나와요': '3', '집중하기 좋아요': '2', '대화하기 좋아요': '2', '화장실이 깨끗해요': '2'}"
3,신암4동 헬로스위트,헬로스위트,초기값,28,7,대구 동구 동대구로 550,06:00 - 22:30,0507-1360-6513,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '22', '음료가 맛있어요': '11', '친절해요': '8', '특별한 메뉴가 있어요': '4', '가성비가 좋아요': '3', '매장이 청결해요': '2', '디저트가 맛있어요': '1'}"
4,성내2동 랩디 본점,랩디 본점,4.5,188,116,대구 중구 중앙대로81길 14,NO INFO,053-425-0011,http://kakr.blog.me/,신선한원두로 재조하는 랩디 카페입니다.,공사중,"{'커피가 맛있어요': '67', '친절해요': '33', '음료가 맛있어요': '23', '매장이 청결해요': '16', '특별한 메뉴가 있어요': '15', '대화하기 좋아요': '14', '가성비가 좋아요': '13', '좌석이 편해요': '12', '디저트가 맛있어요': '12', '인테리어가 멋져요': '12', '집중하기 좋아요': '5', '주차하기 편해요': '3', '사진이 잘 나와요': '3', '컨셉이 독특해요': '1', '화장실이 깨끗해요': '1', '뷰가 좋아요': '1'}"
5,신암4동 카페베네 동대구역사점,카페베네 동대구역사점,초기값,19,2,대구 동구 동대구로 550,NO INFO,NO INFO,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '9', '음료가 맛있어요': '9', '매장이 청결해요': '6', '친절해요': '4', '주차하기 편해요': '2', '가성비가 좋아요': '2', '대화하기 좋아요': '2', '좌석이 편해요': '1', '인테리어가 멋져요': '1', '사진이 잘 나와요': '1'}"
6,신암4동 브루앤미,브루앤미 신암점,4.16,122,초기값,대구 동구 아양로39길 16,"기본 10:00 - 21:30
winter시즌 10:00 - 20:30",NO INFO,NO INFO,NO INFO,공사중,"{'커피가 맛있어요': '33', '음료가 맛있어요': '17', '친절해요': '16', '매장이 청결해요': '14', '디저트가 맛있어요': '10', '가성비가 좋아요': '10', '대화하기 좋아요': '9', '집중하기 좋아요': '5', '특별한 메뉴가 있어요': '4', '인테리어가 멋져요': '2', '좌석이 편해요': '1'}"
7,남산1동 커스텀비,커스텀비,초기값,30,14,대구 중구 명륜로23길 29 1층 커스텀비,08:30 - 19:00,053-426-3800,NO INFO,조용한 분위기속에 커피한잔 어떠신가요?,공사중,"{'커피가 맛있어요': '21', '친절해요': '20', '음료가 맛있어요': '16', '인테리어가 멋져요': '14', '매장이 청결해요': '12', '집중하기 좋아요': '11', '대화하기 좋아요': '9', '디저트가 맛있어요': '8', '사진이 잘 나와요': '8', '특별한 메뉴가 있어요': '4', '좌석이 편해요': '3', '가성비가 좋아요': '3', '화장실이 깨끗해요': '1'}"
8,신암3동 래리커피,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
9,삼덕동 카르투시아,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
10,신암5동 봄날,봄날,3.6,25,초기값,대구 동구 아양로11길 73,NO INFO,053-952-6388,NO INFO,NO INFO,공사중,리뷰 수 부족
11,불로·봉무동 읍천리382 대구이시아폴리스점,읍천리382이시아폴리스점,4.67,225,73,대구 동구 팔공로51길 3 이시아시티 A동 115호,10:00 - 22:00,053-983-0382,https://www.instagram.com/eupcheonriesia,"' 도심 속 레트로 감성 카페 '
' 할머니가 손자, 손녀를 생각하며 푸짐한 한 상을 차려 주시던 그 마음으로 준비한 카페 입니다.

- 신선한 재료들로 푸짐하게 만든 읍천리 디저트
- 보관은 2-3일 (냉장) 가능하나, 가장 신선할 때 드시는 게 좋습니다.

모든 음료는 HOT / ICE 캔에 밀봉되어 배송 되며, 직장이나 가정에서 언제 어디서든 편하게 드실 수 있도록 제공되는 읍천리382 이시아점!!",공사중,"{'디저트가 맛있어요': '45', '친절해요': '36', '음료가 맛있어요': '35', '커피가 맛있어요': '32', '인테리어가 멋져요': '25', '매장이 청결해요': '21', '가성비가 좋아요': '17', '특별한 메뉴가 있어요': '15', '좌석이 편해요': '8', '사진이 잘 나와요': '7', '주차하기 편해요': '6', '집중하기 좋아요': '6', '대화하기 좋아요': '6', '화장실이 깨끗해요': '2', '뷰가 좋아요': '2'}"
12,도평동 카페베네 아시아폴리스점,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값,초기값
