,사업장명,리뷰
0,스타벅스커피대구침산DT점,"{'커피가 맛있어요': '1038', '친절해요': '573', '음료가 맛있어요': '460', '디저트가 맛있어요': '307', '매장이 청결해요': '266', '대화하기 좋아요': '199', '좌석이 편해요': '137', '집중하기 좋아요': '116', '주차하기 편해요': '111', '특별한 메뉴가 있어요': '104', '화장실이 깨끗해요': '90', '인테리어가 멋져요': '81', '가성비가 좋아요': '51', '뷰가 좋아요': '45', '사진이 잘 나와요': '23', '빵이 맛있어요': '1'}"
1,클로버카페,검색결과 없음
2,공차대구보건대점,"{'음료가 맛있어요': '220', '친절해요': '116', '차가 맛있어요': '106', '매장이 청결해요': '64', '대화하기 좋아요': '35', '좌석이 편해요': '33', '디저트가 맛있어요': '32', '특별한 메뉴가 있어요': '32', '가성비가 좋아요': '25', '집중하기 좋아요': '23', '인테리어가 멋져요': '17', '뷰가 좋아요': '9', '화장실이 깨끗해요': '7', '사진이 잘 나와요': '6', '주차하기 편해요': '3'}"
3,마시그래이(팔달점),리뷰 수 부족
4,핸즈커피성북교점,"{'커피가 맛있어요': '792', '인테리어가 멋져요': '462', '주차하기 편해요': '459', '디저트가 맛있어요': '355', '음료가 맛있어요': '340', '매장이 청결해요': '311', '대화하기 좋아요': '280', '친절해요': '239', '좌석이 편해요': '218', '화장실이 깨끗해요': '129', '사진이 잘 나와요': '84', '뷰가 좋아요': '75', '집중하기 좋아요': '71', '특별한 메뉴가 있어요': '62', '가성비가 좋아요': '51'}"
5,클럽펫월드(카페하루),검색결과 없음
6,침산피크,검색결과 없음
7,커피플랜침산점,검색결과 없음
8,블라썸,검색결과 없음
9,카페화담,검색결과 없음
10,보스커피(BOSS COFFEE),"{'커피가 맛있어요': '25', '음료가 맛있어요': '8', '가성비가 좋아요': '8', '디저트가 맛있어요': '5', '친절해요': '4', '매장이 청결해요': '4', '좌석이 편해요': '2', '특별한 메뉴가 있어요': '2', '대화하기 좋아요': '2', '집중하기 좋아요': '1'}"
11,김군커피,"{'커피가 맛있어요': '21', '음료가 맛있어요': '12', '대화하기 좋아요': '9', '친절해요': '8', '가성비가 좋아요': '5', '매장이 청결해요': '5', '특별한 메뉴가 있어요': '3', '디저트가 맛있어요': '2', '인테리어가 멋져요': '2', '집중하기 좋아요': '1'}"
12,여니상점,검색결과 없음
13,더벤티카페대구칠곡점,"{'가성비가 좋아요': '64', '커피가 맛있어요': '47', '음료가 맛있어요': '43', '친절해요': '41', '디저트가 맛있어요': '15', '매장이 청결해요': '13', '특별한 메뉴가 있어요': '10', '뷰가 좋아요': '2', '좌석이 편해요': '1', '인테리어가 멋져요': '1', '사진이 잘 나와요': '1', '집중하기 좋아요': '1', '대화하기 좋아요': '1'}"
14,요거프레소(대구칠곡점),검색결과 없음
15,탑커피(TOPCOFFEE),"{'커피가 맛있어요': '62', '가성비가 좋아요': '38', '친절해요': '36', '음료가 맛있어요': '35', '매장이 청결해요': '28', '디저트가 맛있어요': '27', '좌석이 편해요': '22', '인테리어가 멋져요': '22', '대화하기 좋아요': '21', '주차하기 편해요': '5', '집중하기 좋아요': '5', '사진이 잘 나와요': '4', '화장실이 깨끗해요': '4', '특별한 메뉴가 있어요': '1', '뷰가 좋아요': '1'}"
16,쿠킹놀이터,검색결과 없음
17,들고커피(들GO COFFEE),검색결과 없음
18,할리스커피침산네거리점,"{'커피가 맛있어요': '255', '집중하기 좋아요': '131', '음료가 맛있어요': '122', '매장이 청결해요': '103', '좌석이 편해요': '94', '대화하기 좋아요': '94', '친절해요': '81', '디저트가 맛있어요': '65', '인테리어가 멋져요': '42', '화장실이 깨끗해요': '36', '뷰가 좋아요': '23', '가성비가 좋아요': '21', '특별한 메뉴가 있어요': '21', '주차하기 편해요': '11', '사진이 잘 나와요': '7'}"
19,올리졸리꽉꽉이네,검색결과 없음
20,더드림커피,검색결과 없음
21,커피스타,검색결과 없음
22,팔공티경북대학교북문점,"{'음료가 맛있어요': '67', '가성비가 좋아요': '49', '차가 맛있어요': '43', '친절해요': '35', '매장이 청결해요': '15', '디저트가 맛있어요': '11', '특별한 메뉴가 있어요': '8', '대화하기 좋아요': '6', '좌석이 편해요': '5', '인테리어가 멋져요': '3', '주차하기 편해요': '2', '집중하기 좋아요': '2', '화장실이 깨끗해요': '2', '사진이 잘 나와요': '1', '뷰가 좋아요': '1'}"
23,다락마카롱,리뷰 수 부족
24,혜민커피,"{'친절해요': '21', '커피가 맛있어요': '16', '음료가 맛있어요': '8', '특별한 메뉴가 있어요': '7', '디저트가 맛있어요': '6', '매장이 청결해요': '6', '대화하기 좋아요': '6', '가성비가 좋아요': '2', '좌석이 편해요': '1', '주차하기 편해요': '1', '사진이 잘 나와요': '1'}"
25,카페바인,검색결과 없음
26,파리엔테스,"{'커피가 맛있어요': '18', '음료가 맛있어요': '11', '친절해요': '8', '가성비가 좋아요': '6', '디저트가 맛있어요': '5', '특별한 메뉴가 있어요': '2', '매장이 청결해요': '2'}"
27,카페고성,검색결과 없음
28,카페낭월,검색결과 없음
