사업장명,업종분류,서비스명,서비스아이디(ID),인허가일자,영업상태,소재지전화,구우편번호,주소,도로명우편번호,도로명주소,경도,위도,대표메뉴,영업시간
클로버카페,카페,휴게음식점,07_24_05_P,2019-03-25,Y,0507-1314-7641,702-841,대구광역시 북구 산격동 1291-20번지 ,41535,"대구광역시 북구 대학로 141, 1층 (산격동)",128.6134842,35.89659901,베이커리,매일 12:00 - 22:00
공차대구보건대점,카페,휴게음식점,07_24_05_P,2019-04-01,Y,0507-1412-0405,702-868,대구광역시 북구 태전동 964-8번지 ,41452,"대구광역시 북구 영송로 22-1, 1층 (태전동)",128.5445331,35.92733986,블랙밀크티,매일 09:00 - 22:30
마시그래이(팔달점),카페,휴게음식점,07_24_05_P,2019-03-05,Y,0507-1330-3646,702-816,대구광역시 북구 노원동3가 781-1번지 ,41557,"대구광역시 북구 팔달로 173-1, 1층 (노원동3가)",128.569184,35.8888594,딸기 요거트,매일 10:00 - 22:00
핸즈커피성북교점,카페,휴게음식점,07_24_05_P,2019-03-29,Y,053-353-6756,702-858,대구광역시 북구 침산동 531-5번지 ,41549,"대구광역시 북구 침산로 198, 1,2층 (침산동)",128.5900801,35.89356944,커피,10:00-23:00
클럽펫월드(카페하루),카페,휴게음식점,07_24_05_P,2019-03-29,Y,053-382-9319,702-801,대구광역시 북구 검단동 573번지 ,41503,"대구광역시 북구 유통단지로7길 107, 2층 (검단동)",128.6134123,35.91254403,,평일 10:00 - 22:00/주말 10:00 - 23:00 
침산피크,카페,휴게음식점,07_24_05_P,2019-02-07,Y,,702-859,대구광역시 북구 침산동 1381-38번지 ,41551,"대구광역시 북구 침산남로9길 59, 1층 (침산동)",128.5826532,35.89362062,커피,11:00-22:00
커피플랜침산점,카페,휴게음식점,07_24_05_P,2019-04-18,Y,0507-1340-2130,702-851,대구광역시 북구 칠성동2가 1-2 MH엘퍼스트 오페라 ,41593,"대구광역시 북구 침산로21길 41, MH엘퍼스트 오페라 103호 (칠성동2가)",128.5859317,35.88615583,크림카스테라,평일 08:00 - 22:00/주말 08:00 - 23:00
블라썸,카페,휴게음식점,07_24_05_P,2019-04-24,Y,053-956-8788,702-881,대구광역시 북구 동변동 278-1번지 ,41412,"대구광역시 북구 동변로24길 14-6, 1층 (동변동)",128.6011101,35.92226925,아메리카노,매일 10:00 - 22:10
카페화담,카페,휴게음식점,07_24_05_P,2019-04-24,Y,0507-1352-6459,702-841,대구광역시 북구 산격동 1290-1번지 ,41535,"대구광역시 북구 대동로1길 65-1, 1(일부)층 (산격동)",128.6133813,35.89702627,베이커리,평일 11:00 - 20:00
보스커피(BOSS COFFEE),카페,휴게음식점,07_24_05_P,2019-04-24,Y,053-314-1119,702-911,대구광역시 북구 학정동 305번지 ,41405,"대구광역시 북구 학정로 529, 동서빌딩 2층 (학정동)",128.5647281,35.95209098,달고나라떼,일요일 11:00 - 22:00/월요일 휴무
김군커피,카페,휴게음식점,07_24_05_P,2019-04-15,Y,0507-1318-9801,702-866,대구광역시 북구 태전동 993-7번지 ,41460,"대구광역시 북구 구암로16길 12-1, 1층 (태전동)",128.5488944,35.93127625,아메리카노,평일 11:00 - 23:00/일요일 13:00 - 22:00
여니상점,카페,휴게음식점,07_24_05_P,2019-04-15,Y,053-312-2486,702-807,대구광역시 북구 구암동 769-1번지 태을빌딩 ,41424,"대구광역시 북구 학정로 422, 태을빌딩  일부 1층 (구암동)",128.5638801,35.9421771,"마카롱, 케이크",12:30-18:00
더벤티카페대구칠곡점,카페,휴게음식점,07_24_05_P,2019-06-03,Y,053-323-8656,702-886,대구광역시 북구 동천동 912-1번지 일도프라자 ,41423,"대구광역시 북구 학정로 421, 일도프라자 1층 109호 (동천동)",128.5630818,35.94235682,커피 ,08:00-22:30
요거프레소(대구칠곡점),카페,휴게음식점,07_24_05_P,2019-06-03,Y,0507-1490-2222,702-849,대구광역시 북구 읍내동 1341번지 율곡스퀘어메디컬스 ,41438,"대구광역시 북구 칠곡중앙대로 450, 1층 106호 (읍내동)",128.5494503,35.93587309,흑당버블티,매일 11:00 - 22:00 토요일 12:00 - 21:00
탑커피(TOPCOFFEE),카페,휴게음식점,07_24_05_P,2019-05-24,Y,0507-1434-2006,702-813,대구광역시 북구 노원동3가 1007-1번지 ,41557,"대구광역시 북구 노원로 50, 1층 104,105호 (노원동3가)",128.5682247,35.89267115,아메리카노,매일 00:00 - 24:00 매달 첫번째 일요일만 휴무
